company_name,high,low,last_price,prev_close,change,percent_gain
Shree Cements,"21,935.95","21,349.35","21,712.60","21,348.00",364.6,1.71
Divis Labs,"3,562.00","3,502.20","3,535.85","3,496.65",39.2,1.12
Hindalco,436.75,429.70,432.75,428.85,3.9,0.91
Eicher Motors,"3,513.70","3,408.80","3,481.45","3,450.70",30.75,0.89
Grasim,"1,647.40","1,616.05","1,624.85","1,612.25",12.6,0.78
HDFC Life,579.75,568.35,571.05,566.65,4.4,0.78
SBI Life Insura,"1,316.00","1,288.00","1,297.00","1,287.50",9.5,0.74
Coal India,227.15,223.70,224.90,223.65,1.25,0.56
Dr Reddys Labs,"4,263.90","4,212.00","4,237.90","4,218.05",19.85,0.47
ONGC,138.15,136.15,136.55,136.00,0.55,0.4
UPL,778.00,758.30,762.65,759.75,2.9,0.38
Maruti Suzuki,"8,835.00","8,680.00","8,735.90","8,704.00",31.9,0.37
Bharti Airtel,754.05,735.25,741.00,738.75,2.25,0.3
Titan Company,"2,501.60","2,456.70","2,466.45","2,460.70",5.75,0.23
SBI,528.30,518.50,520.40,519.30,1.1,0.21
BPCL,335.00,328.30,329.80,329.55,0.25,0.08
Kotak Mahindra,"1,905.45","1,856.15","1,868.75","1,867.60",1.15,0.06
