company_name,high,low,last_price,prev_close,change,percent_gain
HUL,"2,378.30","2,276.00","2,375.20","2,282.35",92.85,4.07
Britannia,"3,713.45","3,575.00","3,700.45","3,584.35",116.1,3.24
IndusInd Bank,840.00,811.20,832.00,807.20,24.8,3.07
ITC,293.30,284.80,291.90,284.35,7.55,2.66
ICICI Bank,721.10,704.85,720.10,703.90,16.2,2.3
Power Grid Corp,212.15,205.05,210.70,206.50,4.2,2.03
UPL,657.80,636.05,654.50,643.50,11,1.71
SBI Life Insura,"1,122.00","1,095.10","1,117.65","1,099.85",17.8,1.62
Axis Bank,655.15,640.50,654.35,643.95,10.4,1.62
HDFC Life,575.50,563.10,574.30,565.45,8.85,1.57
Bajaj Auto,"3,695.15","3,608.00","3,679.75","3,624.60",55.15,1.52
TATA Cons. Prod,731.85,714.55,730.15,719.55,10.6,1.47
SBI,474.15,466.85,473.45,466.85,6.6,1.41
Bharti Airtel,685.50,666.05,681.90,673.45,8.45,1.25
Nestle,"18,023.45","17,704.50","17,994.55","17,795.05",199.5,1.12
HCL Tech,989.50,973.45,984.60,975.35,9.25,0.95
Apollo Hospital,"3,782.80","3,700.05","3,770.10","3,736.15",33.95,0.91
Titan Company,"1,966.60","1,928.00","1,962.50","1,946.20",16.3,0.84
Asian Paints,"2,798.00","2,744.80","2,790.30","2,773.15",17.15,0.62
Larsen,"1,587.45","1,550.20","1,581.70","1,572.15",9.55,0.61
Adani Ports,684.30,673.10,682.00,677.90,4.1,0.6
Bajaj Finserv,"11,443.00","11,215.20","11,388.30","11,322.55",65.75,0.58
Infosys,"1,492.25","1,462.00","1,488.00","1,479.40",8.6,0.58
NTPC,142.20,139.35,141.40,140.65,0.75,0.53
Eicher Motors,"2,805.50","2,745.75","2,796.40","2,782.80",13.6,0.49
Maruti Suzuki,"8,467.60","8,320.00","8,443.35","8,402.60",40.75,0.48
Shree Cements,"19,527.15","19,051.00","19,292.40","19,213.80",78.6,0.41
UltraTechCement,"5,745.00","5,632.10","5,709.05","5,691.70",17.35,0.3
Bajaj Finance,"5,648.95","5,541.00","5,630.30","5,614.40",15.9,0.28
HDFC,"2,220.55","2,178.20","2,216.85","2,210.55",6.3,0.28
Grasim,"1,357.60","1,331.60","1,350.80","1,347.25",3.55,0.26
Reliance,"2,442.00","2,366.10","2,413.70","2,408.70",5,0.21
Kotak Mahindra,"1,684.45","1,660.05","1,670.90","1,667.75",3.15,0.19
HDFC Bank,"1,360.20","1,342.25","1,355.65","1,353.75",1.9,0.14
Divis Labs,"3,679.45","3,595.15","3,639.55","3,637.55",2,0.05
Sun Pharma,839.65,821.90,829.40,829.25,0.15,0.02
