company_name,high,low,last_price,prev_close,change,percent_gain
Dr Reddys Labs,"3,873.95","3,654.00","3,828.65","3,718.85",109.8,2.95
ITC,227.40,217.00,225.50,219.40,6.1,2.78
Tech Mahindra,"1,460.00","1,398.50","1,453.60","1,426.65",26.95,1.89
UltraTechCement,"6,170.00","5,850.80","6,050.30","5,980.70",69.6,1.16
Sun Pharma,839.60,809.35,829.65,820.90,8.75,1.07
Wipro,580.00,554.05,575.30,569.55,5.75,1.01
BPCL,351.50,343.00,348.35,346.40,1.95,0.56
Britannia,"3,394.85","3,275.00","3,371.35","3,366.40",4.95,0.15
Infosys,"1,736.00","1,681.00","1,723.30","1,720.85",2.45,0.14
