company_name,high,low,last_price,prev_close,change,percent_gain
BPCL,392.30,376.35,389.95,375.85,14.1,3.75
Tata Motors,441.70,428.25,440.55,424.95,15.6,3.67
Shree Cements,"25,775.00","24,880.05","25,713.85","24,860.90",852.95,3.43
UltraTechCement,"6,827.75","6,585.70","6,807.15","6,585.70",221.45,3.36
Eicher Motors,"2,578.50","2,465.40","2,536.80","2,454.85",81.95,3.34
Maruti Suzuki,"7,699.00","7,472.60","7,666.70","7,435.10",231.6,3.11
Asian Paints,"3,089.50","2,980.00","3,083.00","2,991.20",91.8,3.07
Reliance,"2,734.00","2,649.10","2,718.45","2,640.80",77.65,2.94
UPL,826.90,807.05,825.25,804.90,20.35,2.53
HUL,"2,168.65","2,092.70","2,164.95","2,113.05",51.9,2.46
TCS,"3,569.15","3,480.00","3,556.80","3,471.90",84.9,2.45
TATA Cons. Prod,813.45,792.10,810.45,791.35,19.1,2.41
HDFC Life,560.75,541.00,559.30,546.70,12.6,2.3
Bharti Airtel,744.50,723.95,739.35,723.50,15.85,2.19
Dr Reddys Labs,"4,340.00","4,213.05","4,293.40","4,209.70",83.7,1.99
Nestle,"18,418.95","17,989.95","18,305.20","17,948.60",356.6,1.99
HDFC,"2,188.90","2,144.00","2,180.20","2,140.20",40,1.87
HCL Tech,"1,094.80","1,064.70","1,089.40","1,070.25",19.15,1.79
Bajaj Auto,"3,734.95","3,652.30","3,720.75","3,657.15",63.6,1.74
Infosys,"1,596.30","1,563.00","1,587.70","1,562.00",25.7,1.65
Titan Company,"2,505.00","2,442.70","2,482.70","2,452.60",30.1,1.23
Cipla,"1,015.00",990.05,"1,012.05","1,000.30",11.75,1.17
Wipro,540.55,531.35,536.50,530.45,6.05,1.14
Britannia,"3,335.00","3,242.00","3,304.20","3,267.90",36.3,1.11
Adani Ports,835.95,820.00,827.65,819.30,8.35,1.02
Divis Labs,"4,487.10","4,383.30","4,455.65","4,411.40",44.25,1
M&M,889.90,873.45,881.25,872.50,8.75,1
Grasim,"1,759.00","1,717.05","1,736.60","1,720.40",16.2,0.94
IndusInd Bank,982.75,952.50,972.55,963.80,8.75,0.91
HDFC Bank,"1,359.90","1,335.35","1,354.30","1,342.20",12.1,0.9
Kotak Mahindra,"1,727.00","1,683.40","1,721.30","1,707.50",13.8,0.81
Hindalco,549.00,536.60,545.00,540.80,4.2,0.78
Coal India,205.55,197.10,199.10,197.75,1.35,0.68
Tech Mahindra,"1,320.95","1,295.75","1,309.20","1,301.20",8,0.61
Hero Motocorp,"2,315.00","2,261.65","2,274.85","2,263.25",11.6,0.51
SBI Life Insura,"1,135.70","1,117.70","1,128.35","1,124.70",3.65,0.32
Sun Pharma,931.00,916.05,923.50,922.00,1.5,0.16
