company_name,high,low,last_price,prev_close,change,percent_gain
Apollo Hospital,"3,880.00","3,573.00","3,861.75","3,662.80",198.95,5.43
Tech Mahindra,"1,126.20","1,092.00","1,123.25","1,078.60",44.65,4.14
HDFC Life,604.30,577.40,598.10,578.05,20.05,3.47
Hero Motocorp,"2,726.90","2,638.00","2,719.80","2,636.45",83.35,3.16
IndusInd Bank,927.00,905.20,925.40,897.60,27.8,3.1
Bajaj Finance,"6,077.00","5,861.05","5,993.50","5,817.80",175.7,3.02
Wipro,467.95,456.25,466.95,453.35,13.6,3
Infosys,"1,467.00","1,437.40","1,461.35","1,423.95",37.4,2.63
M&M,958.00,923.00,952.85,929.80,23.05,2.48
HCL Tech,"1,010.45",989.00,"1,003.90",980.70,23.2,2.37
Larsen,"1,606.00","1,574.00","1,600.30","1,564.55",35.75,2.29
Bajaj Finserv,"12,890.00","12,604.55","12,758.40","12,477.75",280.65,2.25
HUL,"2,334.90","2,280.50","2,330.60","2,280.20",50.4,2.21
Tata Motors,433.25,425.20,429.60,420.65,8.95,2.13
Dr Reddys Labs,"4,409.00","4,268.95","4,390.50","4,304.15",86.35,2.01
Kotak Mahindra,"1,950.00","1,913.00","1,946.20","1,908.65",37.55,1.97
Divis Labs,"3,538.65","3,451.60","3,514.70","3,448.70",66,1.91
HDFC,"2,334.25","2,300.30","2,330.40","2,287.75",42.65,1.86
HDFC Bank,"1,394.70","1,370.75","1,392.05","1,366.70",25.35,1.85
Maruti Suzuki,"7,965.90","7,833.00","7,942.95","7,805.00",137.95,1.77
ICICI Bank,741.20,731.25,739.80,728.50,11.3,1.55
SBI Life Insura,"1,129.40","1,102.85","1,121.10","1,105.35",15.75,1.42
UltraTechCement,"5,976.50","5,886.05","5,948.00","5,874.25",73.75,1.26
UPL,762.70,746.65,756.60,747.45,9.15,1.22
Shree Cements,"21,986.00","21,660.05","21,927.05","21,691.20",235.85,1.09
TCS,"3,278.90","3,229.20","3,261.30","3,226.95",34.35,1.06
ITC,270.70,265.05,269.20,266.70,2.5,0.94
Axis Bank,693.80,684.25,688.30,683.25,5.05,0.74
Eicher Motors,"2,765.00","2,729.70","2,742.10","2,725.10",17,0.62
Sun Pharma,912.80,896.00,903.90,899.95,3.95,0.44
TATA Cons. Prod,731.60,722.60,725.45,722.25,3.2,0.44
Titan Company,"2,159.95","2,123.40","2,149.20","2,141.95",7.25,0.34
Hindalco,426.95,406.10,409.15,407.85,1.3,0.32
Grasim,"1,422.95","1,378.05","1,396.70","1,392.55",4.15,0.3
Adani Ports,714.10,697.00,703.10,701.50,1.6,0.23
Cipla,977.80,960.00,966.35,964.55,1.8,0.19
SBI,475.00,467.50,468.95,468.90,0.05,0.01
