company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Auto,"3,869.75","3,650.50","3,817.00","3,672.70",144.3,3.93
JSW Steel,583.25,553.00,579.00,562.45,16.55,2.94
Cipla,979.70,960.50,976.05,960.95,15.1,1.57
ONGC,156.00,152.80,153.95,151.60,2.35,1.55
TATA Cons. Prod,770.00,745.30,763.65,753.90,9.75,1.29
Apollo Hospital,"3,649.90","3,542.10","3,633.70","3,588.80",44.9,1.25
UPL,781.00,764.55,779.00,769.65,9.35,1.21
Tata Steel,"1,082.90","1,049.20","1,078.10","1,067.30",10.8,1.01
ITC,275.80,269.70,274.80,272.70,2.1,0.77
M&M,"1,048.60","1,018.00","1,035.95","1,028.65",7.3,0.71
Divis Labs,"3,525.00","3,470.00","3,499.65","3,478.30",21.35,0.61
Hindalco,410.70,395.95,409.15,406.75,2.4,0.59
Kotak Mahindra,"1,877.00","1,843.15","1,869.30","1,858.65",10.65,0.57
HDFC Life,614.50,601.05,606.10,602.70,3.4,0.56
Infosys,"1,536.60","1,493.00","1,530.05","1,521.70",8.35,0.55
IndusInd Bank,933.95,918.50,928.75,924.30,4.45,0.48
ICICI Bank,750.95,739.60,746.75,744.30,2.45,0.33
Adani Ports,745.00,725.30,741.25,739.90,1.35,0.18
NTPC,158.65,154.60,155.20,155.00,0.2,0.13
Tata Motors,433.95,424.60,432.35,431.90,0.45,0.1
Maruti Suzuki,"7,776.90","7,591.45","7,710.55","7,705.05",5.5,0.07
SBI Life Insura,"1,149.60","1,134.10","1,142.00","1,141.15",0.85,0.07
