company_name,high,low,last_price,prev_close,change,percent_gain
Wipro,572.70,555.40,570.80,562.45,8.35,1.48
Infosys,"1,737.30","1,691.50","1,730.70","1,706.95",23.75,1.39
Shree Cements,"24,993.00","24,050.05","24,678.35","24,349.55",328.8,1.35
Power Grid Corp,199.00,195.55,198.15,195.70,2.45,1.25
ICICI Bank,762.90,740.00,754.45,748.90,5.55,0.74
HDFC Bank,"1,530.70","1,495.55","1,522.10","1,512.35",9.75,0.64
Nestle,"18,160.00","17,825.00","18,106.10","18,009.30",96.8,0.54
Maruti Suzuki,"8,724.25","8,443.60","8,612.70","8,569.10",43.6,0.51
Tata Motors,500.40,486.10,494.45,493.15,1.3,0.26
Axis Bank,796.80,776.10,788.85,787.40,1.45,0.18
Kotak Mahindra,"1,851.30","1,802.10","1,827.10","1,826.55",0.55,0.03
