company_name,high,low,last_price,prev_close,change,percent_gain
M&M,884.20,842.50,880.55,841.40,39.15,4.65
Bharti Airtel,732.70,704.20,730.20,703.45,26.75,3.8
Reliance,"2,524.95","2,465.00","2,521.10","2,455.55",65.55,2.67
IndusInd Bank,946.60,920.10,941.55,917.95,23.6,2.57
ONGC,165.70,161.40,164.95,160.95,4,2.49
Hindalco,500.85,491.00,497.95,486.35,11.6,2.39
HDFC Life,674.25,658.30,673.25,658.15,15.1,2.29
JSW Steel,659.20,649.00,657.05,645.70,11.35,1.76
ICICI Bank,825.45,812.05,823.75,810.65,13.1,1.62
Tata Steel,"1,150.80","1,132.40","1,147.20","1,130.25",16.95,1.5
Grasim,"1,877.45","1,845.00","1,874.00","1,846.90",27.1,1.47
Bajaj Finance,"7,869.00","7,691.80","7,774.50","7,669.85",104.65,1.36
SBI Life Insura,"1,255.40","1,231.15","1,249.40","1,233.40",16,1.3
Tata Motors,511.85,503.50,507.25,501.30,5.95,1.19
Infosys,"1,889.00","1,860.00","1,877.45","1,855.60",21.85,1.18
NTPC,134.20,132.35,133.85,132.30,1.55,1.17
Kotak Mahindra,"1,976.15","1,947.15","1,956.60","1,936.80",19.8,1.02
HDFC,"2,752.00","2,713.05","2,737.50","2,710.95",26.55,0.98
Hero Motocorp,"2,595.00","2,562.00","2,590.50","2,568.25",22.25,0.87
SBI,513.50,508.50,510.25,505.95,4.3,0.85
Eicher Motors,"2,828.90","2,790.05","2,815.90","2,794.35",21.55,0.77
Bajaj Finserv,"18,190.00","17,750.00","17,935.30","17,799.50",135.8,0.76
UltraTechCement,"7,729.00","7,609.90","7,658.70","7,606.30",52.4,0.69
Larsen,"1,984.00","1,960.30","1,974.20","1,961.15",13.05,0.67
HCL Tech,"1,357.10","1,331.40","1,352.15","1,343.65",8.5,0.63
Power Grid Corp,206.70,204.35,204.95,203.85,1.1,0.54
Dr Reddys Labs,"4,703.30","4,634.00","4,693.40","4,669.25",24.15,0.52
Coal India,160.75,158.50,159.35,158.55,0.8,0.5
Axis Bank,751.45,743.15,746.85,743.25,3.6,0.48
IOC,120.00,118.35,119.15,118.60,0.55,0.46
Sun Pharma,845.00,827.50,836.20,832.40,3.8,0.46
HUL,"2,416.00","2,398.50","2,413.15","2,403.65",9.5,0.4
ITC,223.65,221.60,222.75,221.95,0.8,0.36
UPL,825.10,812.40,822.40,819.55,2.85,0.35
Maruti Suzuki,"8,200.00","8,115.00","8,170.75","8,143.85",26.9,0.33
Asian Paints,"3,582.45","3,534.00","3,543.80","3,538.75",5.05,0.14
Bajaj Auto,"3,452.00","3,414.25","3,440.10","3,436.75",3.35,0.1
