company_name,high,low,last_price,prev_close,change,percent_gain
JSW Steel,572.35,549.20,569.50,551.25,18.25,3.31
Coal India,197.30,193.20,196.05,192.90,3.15,1.63
HDFC Life,609.00,596.65,607.15,598.95,8.2,1.37
M&M,"1,057.25","1,014.80","1,047.35","1,034.35",13,1.26
HDFC,"2,335.65","2,292.35","2,329.90","2,306.75",23.15,1
Kotak Mahindra,"1,874.00","1,835.35","1,865.10","1,846.85",18.25,0.99
Tata Steel,"1,079.00","1,053.30","1,063.55","1,055.65",7.9,0.75
Grasim,"1,450.00","1,412.60","1,436.55","1,428.60",7.95,0.56
NTPC,160.20,156.25,156.80,156.00,0.8,0.51
ITC,274.10,270.20,271.85,270.65,1.2,0.44
HDFC Bank,"1,400.45","1,379.15","1,394.85","1,388.95",5.9,0.42
Tata Motors,446.00,439.60,444.60,443.55,1.05,0.24
TATA Cons. Prod,780.50,757.75,761.10,759.75,1.35,0.18
Axis Bank,692.45,680.50,686.05,685.20,0.85,0.12
SBI,472.00,464.70,468.30,468.10,0.2,0.04
Reliance,"2,655.20","2,616.20","2,633.50","2,632.65",0.85,0.03
UPL,784.40,772.60,779.75,779.60,0.15,0.02
