company_name,high,low,last_price,prev_close,change,percent_gain
Coal India,186.35,177.50,182.30,176.55,5.75,3.26
Hindalco,600.95,582.55,589.95,576.80,13.15,2.28
UPL,777.75,760.00,775.90,761.60,14.3,1.88
ONGC,175.00,170.30,172.55,170.30,2.25,1.32
HDFC Bank,"1,493.65","1,472.80","1,486.50","1,480.05",6.45,0.44
Sun Pharma,931.00,911.30,913.80,911.60,2.2,0.24
Cipla,"1,071.00","1,049.10","1,050.30","1,048.50",1.8,0.17
Maruti Suzuki,"7,940.00","7,650.00","7,705.55","7,693.00",12.55,0.16
Titan Company,"2,768.00","2,700.00","2,707.25","2,703.00",4.25,0.16
