company_name,high,low,last_price,prev_close,change,percent_gain
Apollo Hospital,"4,595.00","4,316.50","4,559.35","4,308.20",251.15,5.83
Cipla,"1,097.55","1,039.50","1,092.30","1,036.30",56,5.4
Sun Pharma,914.75,876.80,911.95,874.85,37.1,4.24
Eicher Motors,"3,738.25","3,620.00","3,711.55","3,590.25",121.3,3.38
IndusInd Bank,"1,275.80","1,240.00","1,264.10","1,225.75",38.35,3.13
Dr Reddys Labs,"4,238.00","4,106.10","4,216.00","4,099.15",116.85,2.85
Tata Steel,106.35,104.00,105.80,103.10,2.7,2.62
Tata Steel,106.35,104.00,105.80,103.10,2.7,2.62
Hero Motocorp,"2,823.25","2,714.65","2,771.55","2,704.40",67.15,2.48
Titan Company,"2,693.55","2,635.10","2,684.00","2,619.80",64.2,2.45
Asian Paints,"3,410.00","3,334.00","3,393.20","3,316.25",76.95,2.32
Hindalco,427.50,415.80,421.45,412.15,9.3,2.26
HDFC Life,564.55,547.20,559.75,548.10,11.65,2.13
Tata Motors,443.35,430.60,434.25,425.45,8.8,2.07
Tata Motors,443.35,430.60,434.25,425.45,8.8,2.07
ONGC,133.60,131.30,133.20,130.55,2.65,2.03
ICICI Bank,922.50,907.35,916.75,899.20,17.55,1.95
Bajaj Finserv,"1,812.95","1,780.00","1,799.60","1,765.95",33.65,1.91
Bajaj Finserv,"1,812.95","1,780.00","1,799.60","1,765.95",33.65,1.91
Bajaj Finance,"7,715.00","7,565.00","7,635.40","7,496.10",139.3,1.86
HDFC,"2,493.95","2,452.00","2,486.25","2,441.40",44.85,1.84
Axis Bank,816.20,802.00,812.75,798.10,14.65,1.84
HCL Tech,920.85,902.00,914.00,897.80,16.2,1.8
Bajaj Auto,"3,807.90","3,725.00","3,768.60","3,708.25",60.35,1.63
Britannia,"3,665.00","3,602.00","3,650.60","3,592.35",58.25,1.62
Tech Mahindra,"1,065.70","1,050.00","1,056.15","1,039.50",16.65,1.6
TATA Cons. Prod,812.90,795.95,804.20,793.00,11.2,1.41
JSW Steel,698.25,682.05,689.00,679.95,9.05,1.33
Bharti Airtel,796.95,785.00,792.15,782.75,9.4,1.2
HDFC Bank,"1,524.00","1,509.90","1,520.70","1,502.60",18.1,1.2
Larsen,"1,955.80","1,925.00","1,932.70","1,910.70",22,1.15
M&M,"1,312.00","1,296.55","1,302.95","1,288.65",14.3,1.11
Adani Ports,987.85,967.00,970.25,959.60,10.65,1.11
UPL,723.60,714.20,719.90,712.25,7.65,1.07
Wipro,409.40,404.45,404.90,401.95,2.95,0.73
BPCL,326.90,321.85,322.90,320.90,2,0.62
Kotak Mahindra,"1,961.70","1,933.00","1,939.75","1,929.50",10.25,0.53
NTPC,173.15,170.90,171.90,171.00,0.9,0.53
SBI Life Insura,"1,322.50","1,306.65","1,309.30","1,303.30",6,0.46
TCS,"3,079.95","3,030.00","3,040.30","3,028.80",11.5,0.38
UltraTechCement,"6,563.35","6,457.95","6,484.65","6,459.85",24.8,0.38
Divis Labs,"3,652.85","3,615.80","3,631.55","3,619.55",12,0.33
SBI,577.95,572.85,574.05,572.25,1.8,0.31
Maruti Suzuki,"9,430.00","9,250.00","9,300.85","9,280.85",20,0.22
HUL,"2,621.50","2,579.60","2,583.55","2,579.25",4.3,0.17
ITC,339.60,335.00,336.00,335.60,0.4,0.12
Reliance,"2,537.70","2,494.70","2,502.85","2,502.45",0.4,0.02
