company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,170.40,165.15,169.10,163.95,5.15,3.14
Tata Steel,"1,254.25","1,226.00","1,248.35","1,222.35",26,2.13
Infosys,"1,773.90","1,748.75","1,769.60","1,737.30",32.3,1.86
HDFC Bank,"1,535.50","1,501.65","1,525.10","1,497.60",27.5,1.84
SBI Life Insura,"1,150.00","1,108.00","1,146.25","1,125.70",20.55,1.83
Kotak Mahindra,"1,888.90","1,830.25","1,867.20","1,835.00",32.2,1.75
HDFC,"2,505.70","2,441.60","2,476.55","2,435.35",41.2,1.69
Grasim,"1,771.30","1,726.60","1,768.55","1,739.70",28.85,1.66
M&M,857.75,830.15,853.05,840.20,12.85,1.53
JSW Steel,678.00,664.10,672.55,663.05,9.5,1.43
Power Grid Corp,215.70,210.05,212.05,209.35,2.7,1.29
Tata Motors,510.50,504.20,507.45,501.25,6.2,1.24
NTPC,136.85,134.30,136.45,135.05,1.4,1.04
HDFC Life,611.50,590.45,606.25,600.20,6.05,1.01
SBI,543.95,534.40,540.55,535.25,5.3,0.99
Tech Mahindra,"1,472.00","1,450.30","1,468.50","1,454.80",13.7,0.94
TATA Cons. Prod,711.00,699.00,706.70,700.20,6.5,0.93
Hindalco,553.50,541.00,547.25,542.30,4.95,0.91
ITC,233.40,227.75,232.25,230.15,2.1,0.91
Sun Pharma,896.25,880.00,894.30,886.45,7.85,0.89
Bajaj Finserv,"16,550.00","16,033.00","16,393.60","16,257.80",135.8,0.84
Wipro,574.75,566.20,573.65,568.95,4.7,0.83
HCL Tech,"1,191.90","1,174.10","1,190.35","1,180.90",9.45,0.8
Axis Bank,815.95,803.10,809.80,803.85,5.95,0.74
Cipla,977.35,963.00,975.05,968.25,6.8,0.7
Bharti Airtel,726.95,708.60,724.05,719.35,4.7,0.65
Larsen,"1,911.00","1,881.00","1,901.00","1,888.80",12.2,0.65
Eicher Motors,"2,664.00","2,615.55","2,640.35","2,625.65",14.7,0.56
IndusInd Bank,977.75,960.25,972.35,967.15,5.2,0.54
Britannia,"3,543.85","3,485.00","3,534.55","3,517.35",17.2,0.49
ICICI Bank,808.80,796.30,805.50,802.80,2.7,0.34
Asian Paints,"3,248.00","3,176.00","3,238.75","3,228.35",10.4,0.32
Bajaj Finance,"7,240.00","7,065.00","7,137.00","7,117.35",19.65,0.28
Titan Company,"2,503.95","2,465.55","2,491.85","2,484.80",7.05,0.28
TCS,"3,789.80","3,758.00","3,770.35","3,760.55",9.8,0.26
HUL,"2,285.00","2,255.85","2,283.15","2,277.65",5.5,0.24
Hero Motocorp,"2,751.00","2,701.05","2,734.10","2,728.85",5.25,0.19
Bajaj Auto,"3,581.55","3,545.65","3,569.35","3,563.55",5.8,0.16
Dr Reddys Labs,"4,388.75","4,333.70","4,370.70","4,368.75",1.95,0.04
Nestle,"18,212.90","18,010.00","18,139.85","18,135.05",4.8,0.03
