company_name,high,low,last_price,prev_close,change,percent_gain
TATA Cons. Prod,726.15,701.50,720.35,701.00,19.35,2.76
HDFC,"2,426.00","2,361.80","2,411.80","2,363.85",47.95,2.03
ONGC,172.40,168.50,171.75,168.55,3.2,1.9
Reliance,"2,454.90","2,410.00","2,443.50","2,412.95",30.55,1.27
HDFC Life,595.40,581.25,592.60,586.35,6.25,1.07
HUL,"2,313.00","2,276.00","2,307.55","2,286.50",21.05,0.92
Hindalco,540.75,528.30,532.55,529.30,3.25,0.61
Eicher Motors,"2,762.75","2,700.10","2,722.75","2,706.45",16.3,0.6
Larsen,"1,884.90","1,854.10","1,868.70","1,860.70",8,0.43
Asian Paints,"3,294.95","3,236.40","3,265.85","3,252.85",13,0.4
SBI Life Insura,"1,132.85","1,111.90","1,126.35","1,122.15",4.2,0.37
Power Grid Corp,198.85,196.00,197.00,196.30,0.7,0.36
Tata Motors,511.50,498.30,499.95,498.45,1.5,0.3
Bajaj Auto,"3,660.00","3,590.10","3,597.30","3,586.90",10.4,0.29
Tech Mahindra,"1,461.45","1,440.25","1,447.55","1,444.00",3.55,0.25
Hero Motocorp,"2,872.30","2,780.55","2,793.45","2,786.80",6.65,0.24
Titan Company,"2,537.50","2,487.00","2,493.20","2,488.05",5.15,0.21
Bajaj Finance,"7,128.00","6,982.00","7,082.45","7,068.60",13.85,0.2
Wipro,572.40,561.15,564.90,563.90,1,0.18
Britannia,"3,483.00","3,430.00","3,464.10","3,462.00",2.1,0.06
JSW Steel,649.45,634.40,638.20,638.00,0.2,0.03
