company_name,high,low,last_price,prev_close,change,percent_gain
Larsen,"1,702.00","1,618.00","1,687.45","1,611.10",76.35,4.74
Power Grid Corp,219.40,212.65,218.80,212.55,6.25,2.94
Tata Motors,443.85,429.30,441.55,430.85,10.7,2.48
NTPC,144.20,141.00,143.70,140.45,3.25,2.31
Coal India,191.90,187.05,189.80,186.00,3.8,2.04
SBI Life Insura,"1,149.40","1,127.55","1,146.90","1,124.60",22.3,1.98
ICICI Bank,757.50,744.55,755.70,742.00,13.7,1.85
Adani Ports,717.75,706.55,715.70,703.60,12.1,1.72
Axis Bank,676.80,661.40,669.15,658.15,11,1.67
Dr Reddys Labs,"4,414.95","4,304.40","4,406.20","4,336.45",69.75,1.61
Bharti Airtel,696.60,686.65,695.15,686.80,8.35,1.22
Grasim,"1,407.00","1,382.20","1,391.35","1,374.85",16.5,1.2
Nestle,"18,450.00","18,222.00","18,419.15","18,204.95",214.2,1.18
UPL,692.30,681.25,690.25,682.75,7.5,1.1
Infosys,"1,516.95","1,499.95","1,514.45","1,498.70",15.75,1.05
HUL,"2,503.80","2,452.80","2,496.85","2,472.95",23.9,0.97
Sun Pharma,859.50,849.75,857.70,849.45,8.25,0.97
TATA Cons. Prod,764.35,755.05,761.40,754.85,6.55,0.87
Titan Company,"2,154.00","2,110.50","2,144.35","2,127.50",16.85,0.79
Bajaj Auto,"3,830.00","3,792.70","3,825.00","3,795.50",29.5,0.78
Tech Mahindra,"1,034.70","1,014.55","1,026.50","1,020.75",5.75,0.56
Apollo Hospital,"3,946.00","3,910.00","3,936.15","3,915.25",20.9,0.53
Divis Labs,"3,692.00","3,646.35","3,671.30","3,656.40",14.9,0.41
ITC,294.45,290.40,293.05,291.95,1.1,0.38
SBI,489.90,485.15,488.55,486.75,1.8,0.37
Kotak Mahindra,"1,756.45","1,732.20","1,744.75","1,738.50",6.25,0.36
Hero Motocorp,"2,879.95","2,819.05","2,849.30","2,839.45",9.85,0.35
Bajaj Finserv,"12,127.30","11,880.00","12,003.10","11,967.35",35.75,0.3
Bajaj Finance,"5,928.00","5,801.00","5,873.20","5,860.70",12.5,0.21
Britannia,"3,850.95","3,792.50","3,816.95","3,810.25",6.7,0.18
Reliance,"2,418.00","2,382.55","2,391.40","2,388.10",3.3,0.14
HDFC Bank,"1,410.00","1,394.75","1,397.10","1,395.80",1.3,0.09
M&M,"1,194.90","1,126.15","1,133.60","1,133.30",0.3,0.03
Cipla,942.25,927.85,935.45,935.25,0.2,0.02
