company_name,high,low,last_price,prev_close,change,percent_gain
Tata Motors,481.00,451.05,479.20,449.60,29.6,6.58
Tata Motors,481.00,451.05,479.20,449.60,29.6,6.58
M&M,"1,248.70","1,184.25","1,237.75","1,164.45",73.3,6.29
Adani Ports,804.00,765.05,801.25,763.70,37.55,4.92
UPL,780.40,744.05,767.35,741.10,26.25,3.54
ONGC,139.00,133.20,138.40,134.15,4.25,3.17
Cipla,"1,031.00",988.30,"1,004.55",977.40,27.15,2.78
Maruti Suzuki,"9,085.00","8,822.60","9,003.40","8,773.55",229.85,2.62
Reliance,"2,587.75","2,507.60","2,574.85","2,509.45",65.4,2.61
Kotak Mahindra,"1,862.00","1,812.00","1,855.75","1,810.35",45.4,2.51
Bharti Airtel,697.80,677.05,694.45,677.95,16.5,2.43
Power Grid Corp,220.15,214.15,218.95,213.95,5,2.34
NTPC,157.70,151.00,156.50,152.95,3.55,2.32
Shree Cements,"20,985.15","20,550.00","20,947.00","20,498.00",449,2.19
Hindalco,428.00,418.85,424.00,415.05,8.95,2.16
Apollo Hospital,"4,293.75","4,190.00","4,288.10","4,212.30",75.8,1.8
UltraTechCement,"6,664.00","6,560.05","6,657.65","6,544.80",112.85,1.72
JSW Steel,641.00,628.25,639.20,629.60,9.6,1.52
Bajaj Auto,"3,988.25","3,915.00","3,973.30","3,914.45",58.85,1.5
ITC,308.80,303.10,307.50,303.05,4.45,1.47
SBI Life Insura,"1,317.25","1,287.40","1,313.30","1,294.40",18.9,1.46
Wipro,430.90,422.60,429.00,423.70,5.3,1.25
BPCL,335.20,327.80,334.15,330.30,3.85,1.17
Titan Company,"2,381.05","2,339.00","2,376.25","2,352.05",24.2,1.03
SBI,535.00,526.40,533.75,528.35,5.4,1.02
HDFC Bank,"1,448.45","1,430.05","1,446.15","1,434.20",11.95,0.83
Axis Bank,732.30,720.40,730.80,724.75,6.05,0.83
Hero Motocorp,"2,908.00","2,820.00","2,840.80","2,818.05",22.75,0.81
Bajaj Finance,"7,310.00","7,192.00","7,261.00","7,209.10",51.9,0.72
Coal India,213.70,209.80,212.75,211.25,1.5,0.71
ICICI Bank,825.00,817.30,823.40,818.60,4.8,0.59
Dr Reddys Labs,"4,139.80","4,100.50","4,110.45","4,090.35",20.1,0.49
HCL Tech,956.50,945.20,952.15,948.40,3.75,0.4
Larsen,"1,817.85","1,790.30","1,814.70","1,808.05",6.65,0.37
HDFC,"2,397.00","2,362.05","2,383.75","2,377.80",5.95,0.25
Tata Steel,111.45,106.15,108.25,108.05,0.2,0.19
Tata Steel,111.45,106.15,108.25,108.05,0.2,0.19
Bajaj Finserv,"15,250.00","14,931.00","15,073.10","15,047.60",25.5,0.17
Infosys,"1,564.00","1,537.90","1,551.05","1,549.70",1.35,0.09
Tech Mahindra,"1,058.95","1,037.80","1,049.60","1,048.65",0.95,0.09
