company_name,high,low,last_price,prev_close,change,percent_gain
Asian Paints,"2,890.00","2,665.05","2,874.95","2,723.40",151.55,5.56
Reliance,"2,367.00","2,234.15","2,354.10","2,235.50",118.6,5.31
Bajaj Finance,"6,525.00","6,121.85","6,472.50","6,161.85",310.65,5.04
M&M,739.90,700.00,734.85,700.65,34.2,4.88
IndusInd Bank,880.00,838.25,875.35,840.70,34.65,4.12
Bajaj Finserv,"15,199.55","14,400.00","15,015.20","14,450.70",564.5,3.91
Adani Ports,718.00,692.70,714.10,688.85,25.25,3.67
Tata Motors,409.25,389.50,405.90,391.75,14.15,3.61
HDFC Bank,"1,374.70","1,318.85","1,371.15","1,327.80",43.35,3.26
Maruti Suzuki,"7,078.10","6,777.00","7,026.85","6,806.30",220.55,3.24
UltraTechCement,"6,058.75","5,821.20","6,017.35","5,833.45",183.9,3.15
Tech Mahindra,"1,511.00","1,461.95","1,504.75","1,461.95",42.8,2.93
Titan Company,"2,460.50","2,375.00","2,433.65","2,371.25",62.4,2.63
SBI,454.30,438.55,451.70,440.30,11.4,2.59
HUL,"2,007.05","1,951.00","1,997.90","1,949.00",48.9,2.51
Grasim,"1,508.70","1,443.50","1,493.35","1,458.20",35.15,2.41
TATA Cons. Prod,705.90,678.30,699.15,683.70,15.45,2.26
HDFC,"2,216.00","2,120.35","2,194.40","2,151.70",42.7,1.98
Infosys,"1,831.60","1,791.00","1,813.35","1,778.20",35.15,1.98
Larsen,"1,699.80","1,650.05","1,690.95","1,658.50",32.45,1.96
Hero Motocorp,"2,310.60","2,235.15","2,290.50","2,251.65",38.85,1.73
Divis Labs,"4,279.60","4,150.00","4,234.05","4,164.25",69.8,1.68
Eicher Motors,"2,308.35","2,219.00","2,293.05","2,256.05",37,1.64
Dr Reddys Labs,"3,981.30","3,882.20","3,930.45","3,868.55",61.9,1.6
Sun Pharma,885.80,860.00,868.25,855.00,13.25,1.55
Bharti Airtel,698.00,674.30,691.50,683.00,8.5,1.24
Cipla,987.55,960.05,981.55,969.55,12,1.24
ITC,231.40,226.10,229.25,226.90,2.35,1.04
Kotak Mahindra,"1,748.15","1,692.00","1,739.10","1,723.10",16,0.93
TCS,"3,654.00","3,597.05","3,632.60","3,599.95",32.65,0.91
Bajaj Auto,"3,360.00","3,293.00","3,339.00","3,317.10",21.9,0.66
HCL Tech,"1,195.00","1,161.10","1,182.70","1,175.30",7.4,0.63
Axis Bank,680.50,659.10,674.20,670.40,3.8,0.57
ICICI Bank,674.50,658.00,667.45,665.00,2.45,0.37
Britannia,"3,170.00","3,093.70","3,123.85","3,113.75",10.1,0.32
HDFC Life,523.00,508.00,514.70,513.05,1.65,0.32
BPCL,347.65,337.70,342.65,341.60,1.05,0.31
UPL,734.80,712.70,725.20,724.20,1,0.14
