company_name,high,low,last_price,prev_close,change,percent_gain
Cipla,"1,053.75",981.35,"1,043.95",987.05,56.9,5.76
Sun Pharma,907.00,869.05,902.00,869.55,32.45,3.73
BPCL,363.70,350.25,362.00,349.00,13,3.72
JSW Steel,673.00,647.20,669.75,650.75,19,2.92
IOC,124.40,120.40,123.70,120.95,2.75,2.27
Dr Reddys Labs,"3,996.00","3,873.00","3,975.60","3,892.50",83.1,2.13
ITC,237.10,230.15,236.35,232.00,4.35,1.88
Power Grid Corp,213.00,207.75,212.45,208.85,3.6,1.72
Coal India,182.50,179.25,181.75,178.95,2.8,1.56
Titan Company,"2,498.20","2,448.85","2,493.60","2,467.80",25.8,1.05
Divis Labs,"4,353.00","4,250.00","4,339.40","4,300.90",38.5,0.9
Shree Cements,"22,434.40","21,919.30","22,394.60","22,197.60",197,0.89
SBI Life Insura,"1,066.10","1,041.65","1,058.50","1,050.05",8.45,0.8
ONGC,176.40,171.70,175.70,174.35,1.35,0.77
Grasim,"1,575.90","1,541.00","1,566.25","1,554.90",11.35,0.73
Asian Paints,"2,939.95","2,882.35","2,932.00","2,912.80",19.2,0.66
Bajaj Finserv,"15,750.00","15,280.00","15,569.00","15,467.45",101.55,0.66
Bajaj Finance,"6,685.00","6,490.05","6,628.00","6,584.90",43.1,0.65
Kotak Mahindra,"1,779.90","1,736.00","1,763.00","1,754.35",8.65,0.49
Hero Motocorp,"2,345.00","2,287.10","2,331.20","2,320.75",10.45,0.45
SBI,474.80,462.00,470.35,468.70,1.65,0.35
HDFC Bank,"1,408.95","1,372.70","1,396.80","1,392.70",4.1,0.29
Reliance,"2,411.00","2,376.05","2,399.15","2,392.25",6.9,0.29
ICICI Bank,684.70,670.60,677.90,676.60,1.3,0.19
UPL,729.00,716.20,725.45,724.20,1.25,0.17
HCL Tech,"1,207.15","1,176.30","1,193.45","1,192.15",1.3,0.11
Tech Mahindra,"1,491.85","1,472.50","1,486.80","1,485.35",1.45,0.1
Larsen,"1,735.45","1,705.80","1,728.65","1,728.20",0.45,0.03
Bajaj Auto,"3,445.50","3,386.45","3,423.00","3,422.35",0.65,0.02
