company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,477.35,455.50,475.55,449.65,25.9,5.76
Titan Company,"2,535.00","2,444.60","2,522.40","2,437.30",85.1,3.49
UltraTechCement,"7,659.50","7,421.45","7,591.05","7,397.20",193.85,2.62
Tata Motors,483.60,471.85,482.40,470.40,12,2.55
Kotak Mahindra,"1,801.00","1,760.05","1,796.10","1,755.25",40.85,2.33
Shree Cements,"27,323.85","26,450.40","26,987.45","26,413.50",573.95,2.17
TATA Cons. Prod,745.00,729.05,743.45,728.00,15.45,2.12
BPCL,387.40,376.50,385.45,377.95,7.5,1.98
Maruti Suzuki,"7,449.50","7,290.05","7,426.45","7,282.25",144.2,1.98
SBI,461.40,453.10,460.45,451.70,8.75,1.94
Grasim,"1,644.00","1,600.55","1,622.25","1,593.65",28.6,1.79
JSW Steel,665.00,647.30,655.95,645.80,10.15,1.57
Bajaj Finance,"6,999.00","6,875.55","6,977.30","6,871.10",106.2,1.55
Nestle,"19,814.95","19,350.20","19,705.70","19,406.55",299.15,1.54
Bajaj Auto,"3,264.70","3,217.00","3,249.25","3,200.80",48.45,1.51
HUL,"2,370.35","2,330.00","2,360.15","2,325.60",34.55,1.49
Bajaj Finserv,"16,500.00","16,170.00","16,406.20","16,167.55",238.65,1.48
Axis Bank,686.50,671.20,678.55,668.85,9.7,1.45
Eicher Motors,"2,604.20","2,548.55","2,591.90","2,557.00",34.9,1.36
HDFC Life,655.00,642.15,649.55,640.90,8.65,1.35
ONGC,142.95,139.45,142.40,140.50,1.9,1.35
Sun Pharma,850.95,834.00,845.70,834.45,11.25,1.35
Hero Motocorp,"2,483.60","2,432.00","2,462.10","2,431.90",30.2,1.24
HDFC Bank,"1,484.80","1,461.50","1,479.40","1,461.50",17.9,1.22
Divis Labs,"4,690.00","4,630.00","4,678.20","4,627.90",50.3,1.09
ITC,218.80,216.15,218.05,216.00,2.05,0.95
M&M,845.00,830.20,837.15,829.30,7.85,0.95
Tata Steel,"1,123.50","1,102.65","1,111.45","1,101.00",10.45,0.95
Britannia,"3,623.20","3,569.05","3,606.00","3,573.90",32.1,0.9
HDFC,"2,608.65","2,561.00","2,586.45","2,563.70",22.75,0.89
IOC,112.60,110.60,111.50,110.55,0.95,0.86
Adani Ports,735.00,725.00,730.30,724.25,6.05,0.84
Bharti Airtel,694.10,680.00,683.80,679.35,4.45,0.66
ICICI Bank,746.25,736.55,740.15,735.70,4.45,0.6
Larsen,"1,907.10","1,887.30","1,895.90","1,885.70",10.2,0.54
Asian Paints,"3,405.00","3,361.40","3,382.95","3,365.70",17.25,0.51
Reliance,"2,383.90","2,360.00","2,368.15","2,359.10",9.05,0.38
IndusInd Bank,892.90,878.40,888.15,885.40,2.75,0.31
Wipro,718.80,709.10,715.35,714.10,1.25,0.18
HCL Tech,"1,329.45","1,308.95","1,319.10","1,317.05",2.05,0.16
TCS,"3,760.00","3,731.30","3,738.35","3,733.75",4.6,0.12
SBI Life Insura,"1,204.95","1,187.10","1,196.00","1,195.20",0.8,0.07
UPL,757.10,745.55,747.10,746.65,0.45,0.06
Dr Reddys Labs,"4,931.05","4,876.50","4,907.00","4,904.70",2.3,0.05
