company_name,high,low,last_price,prev_close,change,percent_gain
HUL,"2,114.00","2,049.00","2,101.95","1,997.90",104.05,5.21
Tata Steel,"1,313.80","1,241.00","1,308.70","1,255.35",53.35,4.25
Grasim,"1,575.00","1,531.10","1,554.90","1,493.35",61.55,4.12
JSW Steel,652.15,624.00,650.75,627.15,23.6,3.76
SBI,476.65,461.65,468.70,451.70,17,3.76
TATA Cons. Prod,727.50,705.55,724.20,699.15,25.05,3.58
IOC,121.40,117.70,120.95,116.95,4,3.42
Tata Motors,434.95,414.00,419.60,405.90,13.7,3.38
IndusInd Bank,928.00,890.70,904.30,875.35,28.95,3.31
Britannia,"3,248.00","3,144.80","3,222.95","3,123.85",99.1,3.17
Axis Bank,720.40,688.25,694.95,674.20,20.75,3.08
Bajaj Finserv,"15,850.00","15,305.05","15,467.45","15,015.20",452.25,3.01
Nestle,"17,685.25","17,221.00","17,649.10","17,145.60",503.5,2.94
Maruti Suzuki,"7,399.85","7,177.30","7,211.80","7,026.85",184.95,2.63
Bajaj Auto,"3,440.00","3,385.40","3,422.35","3,339.00",83.35,2.5
SBI Life Insura,"1,057.10","1,036.05","1,050.05","1,025.20",24.85,2.42
Adani Ports,737.65,720.60,730.40,714.10,16.3,2.28
Larsen,"1,758.00","1,707.00","1,728.20","1,690.95",37.25,2.2
HDFC,"2,287.00","2,206.65","2,237.95","2,194.40",43.55,1.98
BPCL,354.00,345.50,349.00,342.65,6.35,1.85
Bajaj Finance,"6,794.00","6,501.00","6,584.90","6,472.50",112.4,1.74
Reliance,"2,405.00","2,360.00","2,392.25","2,354.10",38.15,1.62
Divis Labs,"4,334.00","4,252.25","4,300.90","4,234.05",66.85,1.58
HDFC Bank,"1,427.00","1,380.25","1,392.70","1,371.15",21.55,1.57
Titan Company,"2,504.75","2,444.85","2,467.80","2,433.65",34.15,1.4
ICICI Bank,701.00,673.65,676.60,667.45,9.15,1.37
Asian Paints,"3,040.00","2,891.20","2,912.80","2,874.95",37.85,1.32
Hero Motocorp,"2,410.45","2,312.05","2,320.75","2,290.50",30.25,1.32
HDFC Life,529.75,515.85,521.30,514.70,6.6,1.28
ITC,232.50,227.85,232.00,229.25,2.75,1.2
NTPC,135.00,131.95,132.95,131.50,1.45,1.1
Shree Cements,"22,749.90","22,050.00","22,197.60","21,964.65",232.95,1.06
Hindalco,596.50,569.80,593.80,588.05,5.75,0.98
Bharti Airtel,707.50,690.60,697.75,691.50,6.25,0.9
Kotak Mahindra,"1,813.00","1,736.00","1,754.35","1,739.10",15.25,0.88
HCL Tech,"1,198.20","1,175.00","1,192.15","1,182.70",9.45,0.8
Infosys,"1,844.75","1,810.20","1,825.90","1,813.35",12.55,0.69
UltraTechCement,"6,261.20","6,004.55","6,052.55","6,017.35",35.2,0.58
Cipla,992.90,975.00,987.05,981.55,5.5,0.56
M&M,762.50,735.00,738.85,734.85,4,0.54
Wipro,596.50,584.60,588.25,585.50,2.75,0.47
Eicher Motors,"2,393.45","2,291.75","2,303.00","2,293.05",9.95,0.43
Power Grid Corp,211.40,207.05,208.85,208.10,0.75,0.36
Sun Pharma,881.90,866.60,869.55,868.25,1.3,0.15
