company_name,high,low,last_price,prev_close,change,percent_gain
Kotak Mahindra,"1,912.00","1,832.00","1,904.50","1,839.70",64.8,3.52
Larsen,"1,898.55","1,850.00","1,894.55","1,855.70",38.85,2.09
TATA Cons. Prod,813.80,791.00,807.85,793.50,14.35,1.81
IndusInd Bank,"1,107.45","1,081.55","1,105.10","1,088.60",16.5,1.52
SBI Life Insura,"1,333.00","1,303.35","1,324.20","1,305.35",18.85,1.44
Bharti Airtel,736.00,720.90,733.20,722.95,10.25,1.42
UltraTechCement,"6,710.25","6,609.10","6,703.95","6,609.85",94.1,1.42
Power Grid Corp,231.70,227.75,231.35,228.50,2.85,1.25
Adani Ports,836.45,820.45,833.05,824.75,8.3,1.01
ITC,316.00,312.60,315.65,312.55,3.1,0.99
Shree Cements,"21,672.35","21,202.55","21,622.50","21,420.95",201.55,0.94
SBI,534.80,526.20,532.35,528.15,4.2,0.8
Cipla,"1,034.05","1,007.35","1,032.20","1,025.75",6.45,0.63
Eicher Motors,"3,438.00","3,374.70","3,411.40","3,397.60",13.8,0.41
Asian Paints,"3,542.70","3,515.55","3,535.35","3,523.70",11.65,0.33
HDFC,"2,507.95","2,480.00","2,497.95","2,491.60",6.35,0.25
ICICI Bank,887.65,875.05,885.10,883.25,1.85,0.21
Coal India,222.65,220.60,221.75,221.45,0.3,0.14
HDFC Bank,"1,513.90","1,499.65","1,511.70","1,509.90",1.8,0.12
JSW Steel,677.75,668.90,673.40,672.60,0.8,0.12
Tech Mahindra,"1,109.20","1,088.10","1,105.15","1,104.50",0.65,0.06
Maruti Suzuki,"9,012.40","8,877.00","8,947.70","8,944.35",3.35,0.04
Tata Steel,113.00,111.40,112.55,112.50,0.05,0.04
Tata Steel,113.00,111.40,112.55,112.50,0.05,0.04
