company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,171.00,164.90,170.25,163.85,6.4,3.91
Tata Motors,522.20,504.80,520.85,510.80,10.05,1.97
Coal India,164.85,160.80,163.90,160.80,3.1,1.93
SBI,517.65,500.30,515.80,506.80,9,1.78
Hindalco,506.25,490.30,504.80,496.00,8.8,1.77
UPL,815.00,789.20,813.25,799.10,14.15,1.77
Maruti Suzuki,"8,060.00","7,860.00","8,015.70","7,915.15",100.55,1.27
Tata Steel,"1,220.90","1,183.00","1,209.60","1,194.85",14.75,1.23
Bajaj Auto,"3,462.30","3,383.05","3,436.80","3,400.95",35.85,1.05
IOC,125.60,123.00,125.10,123.95,1.15,0.93
Axis Bank,731.95,718.70,729.60,725.20,4.4,0.61
Tech Mahindra,"1,676.60","1,627.55","1,670.10","1,660.75",9.35,0.56
Hero Motocorp,"2,740.00","2,675.05","2,699.80","2,692.85",6.95,0.26
M&M,908.95,880.80,894.40,892.15,2.25,0.25
