company_name,high,low,last_price,prev_close,change,percent_gain
JSW Steel,737.50,720.55,732.65,717.55,15.1,2.1
Britannia,"3,218.50","3,147.30","3,206.40","3,148.40",58,1.84
M&M,813.00,798.00,806.55,793.35,13.2,1.66
HUL,"2,054.00","2,018.00","2,048.65","2,015.90",32.75,1.62
TATA Cons. Prod,780.00,765.90,777.40,765.85,11.55,1.51
IOC,120.95,118.00,118.95,117.20,1.75,1.49
Axis Bank,763.00,751.30,761.15,750.45,10.7,1.43
ONGC,165.25,161.15,163.90,162.00,1.9,1.17
Hero Motocorp,"2,316.90","2,280.00","2,294.15","2,271.65",22.5,0.99
IndusInd Bank,938.45,924.00,935.40,926.30,9.1,0.98
Adani Ports,781.00,765.50,774.20,767.40,6.8,0.89
Bharti Airtel,759.00,739.70,754.95,749.50,5.45,0.73
ITC,254.35,249.50,250.65,249.20,1.45,0.58
Titan Company,"2,545.40","2,519.95","2,536.15","2,523.15",13,0.52
Nestle,"17,433.80","17,202.90","17,380.55","17,298.00",82.55,0.48
TCS,"3,754.65","3,720.20","3,739.95","3,731.55",8.4,0.23
HDFC,"2,428.20","2,380.20","2,390.40","2,385.45",4.95,0.21
Tech Mahindra,"1,509.60","1,487.20","1,499.45","1,496.30",3.15,0.21
Infosys,"1,913.00","1,894.20","1,906.85","1,903.95",2.9,0.15
Bajaj Finance,"7,445.00","7,240.65","7,259.95","7,251.85",8.1,0.11
Coal India,184.90,181.65,183.05,182.90,0.15,0.08
