company_name,high,low,last_price,prev_close,change,percent_gain
SBI Life Insura,"1,304.70","1,241.00","1,294.40","1,191.45",102.95,8.64
Tata Steel,109.30,102.15,108.05,100.35,7.7,7.67
Tata Steel,109.30,102.15,108.05,100.35,7.7,7.67
Hindalco,416.80,395.20,415.05,392.40,22.65,5.77
Sun Pharma,951.95,879.00,943.20,894.85,48.35,5.4
HDFC Life,560.00,534.20,555.50,531.60,23.9,4.5
Coal India,212.45,203.25,211.25,202.85,8.4,4.14
ONGC,134.50,129.90,134.15,130.25,3.9,2.99
Bajaj Finserv,"15,201.00","14,812.15","15,047.60","14,642.05",405.55,2.77
IndusInd Bank,"1,049.95","1,018.75","1,043.50","1,017.70",25.8,2.54
Infosys,"1,555.70","1,528.00","1,549.70","1,517.40",32.3,2.13
Reliance,"2,517.10","2,464.00","2,509.45","2,457.10",52.35,2.13
JSW Steel,637.95,620.55,629.60,616.70,12.9,2.09
Asian Paints,"3,354.35","3,275.00","3,333.75","3,272.40",61.35,1.87
Bajaj Finance,"7,260.00","7,125.00","7,209.10","7,076.60",132.5,1.87
Wipro,424.30,417.80,423.70,416.00,7.7,1.85
UPL,745.00,732.00,741.10,727.70,13.4,1.84
NTPC,154.45,150.45,152.95,150.35,2.6,1.73
HDFC,"2,392.70","2,340.40","2,377.80","2,337.55",40.25,1.72
Bharti Airtel,680.65,671.00,677.95,666.85,11.1,1.66
Tata Motors,452.70,445.15,449.60,442.25,7.35,1.66
Tata Motors,452.70,445.15,449.60,442.25,7.35,1.66
Bajaj Auto,"3,952.25","3,878.00","3,914.45","3,858.25",56.2,1.46
Grasim,"1,587.70","1,555.10","1,573.00","1,550.60",22.4,1.44
Hero Motocorp,"2,846.80","2,789.60","2,818.05","2,780.70",37.35,1.34
M&M,"1,184.20","1,153.25","1,164.45","1,149.15",15.3,1.33
BPCL,331.15,325.20,330.30,326.05,4.25,1.3
Eicher Motors,"3,145.00","3,066.40","3,093.45","3,054.00",39.45,1.29
Nestle,"19,423.05","19,001.05","19,359.10","19,112.40",246.7,1.29
TCS,"3,317.30","3,275.00","3,301.90","3,260.50",41.4,1.27
HDFC Bank,"1,438.60","1,415.30","1,434.20","1,416.85",17.35,1.22
UltraTechCement,"6,577.25","6,490.00","6,544.80","6,471.25",73.55,1.14
Cipla,983.95,953.00,977.40,967.45,9.95,1.03
Tech Mahindra,"1,068.00","1,044.10","1,048.65","1,038.00",10.65,1.03
Britannia,"3,949.35","3,876.90","3,900.40","3,869.35",31.05,0.8
Titan Company,"2,392.50","2,339.05","2,352.05","2,334.65",17.4,0.75
HUL,"2,645.00","2,596.00","2,637.40","2,620.10",17.3,0.66
TATA Cons. Prod,814.70,803.80,811.65,806.60,5.05,0.63
Maruti Suzuki,"8,943.00","8,730.00","8,773.55","8,721.05",52.5,0.6
Apollo Hospital,"4,252.80","4,187.00","4,212.30","4,190.50",21.8,0.52
ICICI Bank,823.40,808.00,818.60,814.60,4,0.49
Shree Cements,"20,714.90","20,172.45","20,498.00","20,415.45",82.55,0.4
Larsen,"1,832.50","1,794.00","1,808.05","1,801.25",6.8,0.38
HCL Tech,965.70,947.15,948.40,946.10,2.3,0.24
