company_name,high,low,last_price,prev_close,change,percent_gain
Britannia,"3,789.00","3,637.00","3,765.65","3,650.60",115.05,3.15
HUL,"2,646.75","2,580.00","2,623.60","2,583.55",40.05,1.55
ITC,345.20,335.50,340.95,336.00,4.95,1.47
Apollo Hospital,"4,668.50","4,556.00","4,604.80","4,559.35",45.45,1
Coal India,232.70,227.15,231.55,229.85,1.7,0.74
Bajaj Finance,"7,735.00","7,586.05","7,690.65","7,635.40",55.25,0.72
Tech Mahindra,"1,066.95","1,047.00","1,060.15","1,056.15",4,0.38
M&M,"1,323.00","1,293.60","1,306.65","1,302.95",3.7,0.28
Reliance,"2,533.00","2,495.00","2,509.75","2,502.85",6.9,0.28
Hero Motocorp,"2,807.95","2,767.60","2,776.65","2,771.55",5.1,0.18
Nestle,"18,889.40","18,591.05","18,649.90","18,616.65",33.25,0.18
Bajaj Finserv,"1,820.00","1,778.05","1,802.00","1,799.60",2.4,0.13
Bajaj Finserv,"1,820.00","1,778.05","1,802.00","1,799.60",2.4,0.13
