company_name,high,low,last_price,prev_close,change,percent_gain
Tech Mahindra,"1,057.00","1,024.70","1,052.65","1,032.60",20.05,1.94
Infosys,"1,570.00","1,539.90","1,566.10","1,543.60",22.5,1.46
TCS,"3,349.00","3,277.05","3,339.50","3,291.80",47.7,1.45
Titan Company,"2,425.90","2,355.00","2,416.40","2,384.95",31.45,1.32
Asian Paints,"3,448.00","3,371.25","3,439.65","3,396.15",43.5,1.28
Hero Motocorp,"2,807.80","2,749.40","2,801.90","2,771.45",30.45,1.1
Bharti Airtel,696.85,687.00,693.15,686.80,6.35,0.92
ICICI Bank,828.00,811.55,824.80,817.75,7.05,0.86
Reliance,"2,610.00","2,567.45","2,606.35","2,584.65",21.7,0.84
Cipla,"1,028.75","1,004.50","1,011.85","1,004.20",7.65,0.76
HCL Tech,961.80,950.05,957.20,951.05,6.15,0.65
HDFC,"2,374.00","2,325.00","2,368.40","2,353.30",15.1,0.64
Wipro,433.00,427.50,432.35,429.60,2.75,0.64
JSW Steel,660.80,645.00,652.80,648.70,4.1,0.63
Adani Ports,809.90,795.35,807.20,802.30,4.9,0.61
Eicher Motors,"3,170.00","3,070.55","3,138.20","3,120.95",17.25,0.55
Power Grid Corp,224.75,219.65,223.60,222.60,1,0.45
Dr Reddys Labs,"4,104.00","4,040.00","4,096.30","4,085.40",10.9,0.27
HDFC Bank,"1,435.75","1,417.00","1,433.60","1,430.25",3.35,0.23
Bajaj Auto,"4,010.00","3,963.05","4,003.45","3,996.20",7.25,0.18
TATA Cons. Prod,815.40,801.55,812.75,811.60,1.15,0.14
Bajaj Finserv,"15,338.00","15,115.35","15,243.90","15,224.15",19.75,0.13
NTPC,160.95,157.20,159.65,159.55,0.1,0.06
Tata Steel,108.45,106.00,107.05,107.00,0.05,0.05
Tata Steel,108.45,106.00,107.05,107.00,0.05,0.05
Axis Bank,738.50,727.50,730.50,730.45,0.05,0.01
