company_name,high,low,last_price,prev_close,change,percent_gain
HCL Tech,"1,214.95","1,165.05","1,205.00","1,159.90",45.1,3.89
Wipro,697.10,671.00,690.80,665.95,24.85,3.73
UPL,737.60,712.65,733.65,708.30,25.35,3.58
Adani Ports,728.00,701.70,725.60,701.70,23.9,3.41
Tata Steel,"1,124.25","1,085.00","1,105.10","1,072.95",32.15,3
Hindalco,449.70,437.35,445.45,433.10,12.35,2.85
Coal India,146.00,141.40,144.65,140.70,3.95,2.81
JSW Steel,666.00,645.40,658.30,642.60,15.7,2.44
UltraTechCement,"7,375.00","7,180.10","7,327.35","7,160.85",166.5,2.33
Tech Mahindra,"1,655.30","1,605.50","1,632.95","1,598.05",34.9,2.18
Titan Company,"2,310.00","2,251.30","2,287.65","2,239.35",48.3,2.16
Sun Pharma,783.95,764.05,778.55,763.95,14.6,1.91
Nestle,"19,285.95","18,900.05","19,220.50","18,881.25",339.25,1.8
Larsen,"1,852.20","1,812.50","1,827.55","1,799.35",28.2,1.57
ONGC,136.85,133.80,136.05,134.00,2.05,1.53
Reliance,"2,346.00","2,292.20","2,311.25","2,277.35",33.9,1.49
Tata Motors,460.90,449.85,453.60,447.05,6.55,1.47
ICICI Bank,728.95,716.15,720.35,709.95,10.4,1.46
TCS,"3,641.20","3,566.40","3,608.30","3,556.90",51.4,1.45
Shree Cements,"26,280.00","25,371.00","25,837.45","25,470.35",367.1,1.44
Bharti Airtel,670.90,659.20,667.00,658.25,8.75,1.33
Dr Reddys Labs,"4,629.20","4,543.80","4,620.90","4,560.70",60.2,1.32
IndusInd Bank,867.95,848.35,857.20,846.10,11.1,1.31
Grasim,"1,668.80","1,618.15","1,636.45","1,616.45",20,1.24
BPCL,365.90,357.40,364.20,360.00,4.2,1.17
HDFC Bank,"1,450.75","1,430.00","1,441.80","1,425.65",16.15,1.13
Asian Paints,"3,296.00","3,240.00","3,271.35","3,239.45",31.9,0.98
Britannia,"3,541.35","3,461.05","3,505.75","3,471.90",33.85,0.97
SBI Life Insura,"1,141.45","1,117.70","1,135.25","1,125.70",9.55,0.85
Bajaj Auto,"3,160.05","3,092.00","3,130.80","3,105.20",25.6,0.82
HDFC Life,643.95,633.00,638.75,633.60,5.15,0.81
Infosys,"1,838.00","1,801.00","1,811.60","1,798.90",12.7,0.71
IOC,110.30,108.65,109.50,108.75,0.75,0.69
Eicher Motors,"2,437.85","2,390.15","2,416.65","2,406.45",10.2,0.42
Maruti Suzuki,"7,404.95","7,284.00","7,315.15","7,286.60",28.55,0.39
NTPC,124.70,120.85,122.20,121.75,0.45,0.37
HUL,"2,302.70","2,252.75","2,272.85","2,269.10",3.75,0.17
ITC,215.45,211.05,212.50,212.40,0.1,0.05
Bajaj Finserv,"16,150.00","15,677.00","15,831.95","15,826.20",5.75,0.04
