company_name,high,low,last_price,prev_close,change,percent_gain
ITC,324.25,318.05,323.15,317.60,5.55,1.75
Adani Ports,860.90,838.05,851.95,837.80,14.15,1.69
HDFC,"2,449.80","2,381.00","2,444.35","2,404.20",40.15,1.67
Larsen,"1,958.80","1,900.25","1,940.50","1,912.95",27.55,1.44
HDFC Bank,"1,490.50","1,465.20","1,485.50","1,472.15",13.35,0.91
Kotak Mahindra,"1,929.00","1,904.40","1,918.85","1,902.85",16,0.84
Apollo Hospital,"4,398.00","4,284.00","4,312.35","4,277.15",35.2,0.82
Axis Bank,754.55,740.25,750.20,744.15,6.05,0.81
NTPC,166.40,161.25,161.80,160.70,1.1,0.68
SBI,537.85,531.25,536.70,533.30,3.4,0.64
Tech Mahindra,"1,066.50","1,047.05","1,056.40","1,052.90",3.5,0.33
Eicher Motors,"3,469.00","3,415.00","3,422.10","3,411.60",10.5,0.31
M&M,"1,330.65","1,311.20","1,315.95","1,312.05",3.9,0.3
Grasim,"1,697.50","1,670.05","1,687.90","1,685.00",2.9,0.17
Bajaj Finance,"7,313.00","7,173.45","7,190.35","7,181.30",9.05,0.13
