company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finserv,"18,050.00","17,100.00","17,988.40","17,135.45",852.95,4.98
Bajaj Finance,"7,691.15","7,415.00","7,670.80","7,343.00",327.8,4.46
Kotak Mahindra,"1,928.35","1,840.10","1,922.15","1,852.60",69.55,3.75
JSW Steel,697.00,666.35,694.50,670.40,24.1,3.59
Grasim,"1,753.10","1,684.00","1,747.05","1,692.00",55.05,3.25
IOC,117.45,113.80,117.25,114.05,3.2,2.81
Eicher Motors,"2,790.00","2,691.00","2,778.60","2,705.00",73.6,2.72
Tata Steel,"1,180.80","1,141.25","1,177.60","1,148.80",28.8,2.51
Axis Bank,730.90,707.75,726.90,709.15,17.75,2.5
HDFC Bank,"1,572.00","1,528.10","1,564.85","1,528.55",36.3,2.37
BPCL,396.50,383.45,394.70,385.95,8.75,2.27
Adani Ports,758.80,734.05,754.90,739.25,15.65,2.12
Bajaj Auto,"3,365.00","3,281.00","3,358.55","3,289.15",69.4,2.11
ICICI Bank,795.85,771.20,788.05,772.85,15.2,1.97
Asian Paints,"3,540.00","3,452.05","3,526.80","3,459.30",67.5,1.95
Maruti Suzuki,"7,808.00","7,605.60","7,775.35","7,630.10",145.25,1.9
SBI,495.00,479.15,492.40,483.50,8.9,1.84
ONGC,151.10,147.40,150.35,147.80,2.55,1.73
Shree Cements,"27,300.00","26,850.20","27,214.65","26,954.10",260.55,0.97
M&M,847.00,830.00,839.50,831.85,7.65,0.92
Hero Motocorp,"2,512.95","2,477.95","2,506.00","2,484.90",21.1,0.85
HUL,"2,420.00","2,392.00","2,415.80","2,401.25",14.55,0.61
Britannia,"3,689.00","3,633.05","3,659.70","3,638.45",21.25,0.58
Larsen,"1,951.00","1,927.65","1,948.60","1,937.55",11.05,0.57
Cipla,931.80,919.00,928.55,924.25,4.3,0.47
Reliance,"2,477.00","2,432.95","2,469.60","2,458.10",11.5,0.47
Coal India,154.30,152.10,153.70,153.00,0.7,0.46
Bharti Airtel,702.75,691.75,700.00,697.45,2.55,0.37
UPL,769.85,757.40,764.50,761.75,2.75,0.36
Nestle,"20,025.00","19,829.10","19,935.75","19,889.05",46.7,0.23
ITC,221.50,218.65,220.55,220.25,0.3,0.14
UltraTechCement,"7,769.00","7,595.00","7,659.55","7,650.35",9.2,0.12
HDFC Life,658.25,650.65,653.55,653.15,0.4,0.06
Tata Motors,492.75,483.55,489.75,489.60,0.15,0.03
