company_name,high,low,last_price,prev_close,change,percent_gain
HDFC Bank,"1,722.10","1,562.55","1,656.80","1,506.00",150.8,10.01
HDFC,"2,933.80","2,570.50","2,680.05","2,452.30",227.75,9.29
Adani Ports,822.15,783.65,818.55,785.75,32.8,4.17
HDFC Life,597.55,553.80,571.80,550.35,21.45,3.9
Kotak Mahindra,"1,840.00","1,735.00","1,836.05","1,776.65",59.4,3.34
Hero Motocorp,"2,319.00","2,250.00","2,311.75","2,240.15",71.6,3.2
Hindalco,589.65,569.05,587.50,570.50,17,2.98
Divis Labs,"4,505.00","4,378.90","4,497.60","4,379.70",117.9,2.69
HUL,"2,132.45","2,070.20","2,128.45","2,078.15",50.3,2.42
Larsen,"1,829.85","1,776.60","1,826.35","1,790.10",36.25,2.03
IndusInd Bank,994.80,958.05,987.20,968.60,18.6,1.92
Sun Pharma,928.80,902.60,926.05,908.70,17.35,1.91
Tata Steel,"1,354.00","1,314.45","1,341.90","1,317.10",24.8,1.88
BPCL,381.25,372.20,380.20,374.40,5.8,1.55
Nestle,"17,866.50","17,462.05","17,820.15","17,557.20",262.95,1.5
HCL Tech,"1,188.95","1,168.00","1,187.05","1,169.65",17.4,1.49
ICICI Bank,749.80,725.00,746.60,736.25,10.35,1.41
Cipla,"1,029.65","1,003.45","1,027.80","1,014.85",12.95,1.28
Tata Motors,449.50,441.30,446.75,441.15,5.6,1.27
Bharti Airtel,775.00,756.20,767.80,758.50,9.3,1.23
Axis Bank,785.50,767.00,784.10,774.55,9.55,1.23
Britannia,"3,276.40","3,215.00","3,270.00","3,230.65",39.35,1.22
SBI Life Insura,"1,129.90","1,104.00","1,126.30","1,113.35",12.95,1.16
Eicher Motors,"2,518.10","2,455.55","2,508.95","2,481.20",27.75,1.12
Bajaj Finance,"7,590.90","7,430.00","7,490.65","7,408.10",82.55,1.11
UltraTechCement,"6,758.45","6,622.00","6,743.90","6,670.55",73.35,1.1
Power Grid Corp,228.10,224.05,227.40,225.05,2.35,1.04
Maruti Suzuki,"7,794.00","7,631.65","7,774.80","7,700.05",74.75,0.97
NTPC,146.00,141.50,144.30,142.95,1.35,0.94
Dr Reddys Labs,"4,340.00","4,270.00","4,317.15","4,279.45",37.7,0.88
M&M,836.00,810.00,833.70,826.55,7.15,0.87
Coal India,189.00,184.60,187.75,186.15,1.6,0.86
ITC,257.90,251.10,255.45,253.30,2.15,0.85
SBI,514.90,506.00,512.40,508.20,4.2,0.83
Tech Mahindra,"1,504.30","1,483.65","1,498.65","1,487.10",11.55,0.78
Bajaj Auto,"3,772.00","3,716.40","3,763.65","3,739.90",23.75,0.64
Wipro,606.50,599.00,605.60,601.80,3.8,0.63
Shree Cements,"24,820.00","24,328.95","24,765.05","24,612.85",152.2,0.62
Grasim,"1,688.00","1,659.00","1,679.70","1,669.95",9.75,0.58
UPL,790.00,779.05,784.35,781.55,2.8,0.36
Bajaj Finserv,"17,480.00","16,955.25","17,196.35","17,139.20",57.15,0.33
TCS,"3,780.00","3,737.10","3,770.35","3,758.75",11.6,0.31
Reliance,"2,675.00","2,641.65","2,663.70","2,655.85",7.85,0.3
IOC,123.00,121.70,122.30,122.10,0.2,0.16
Asian Paints,"3,143.00","3,093.50","3,118.00","3,114.15",3.85,0.12
JSW Steel,738.00,726.80,732.70,732.20,0.5,0.07
ONGC,169.05,165.35,168.05,167.95,0.1,0.06
