company_name,high,low,last_price,prev_close,change,percent_gain
IndusInd Bank,981.80,930.10,975.35,922.30,53.05,5.75
Bajaj Finserv,"16,750.00","15,925.00","16,706.00","15,903.85",802.15,5.04
HCL Tech,"1,173.85","1,133.30","1,170.95","1,132.80",38.15,3.37
Bajaj Finance,"7,280.00","7,095.00","7,247.45","7,014.60",232.85,3.32
HDFC Life,645.80,624.10,644.15,623.90,20.25,3.25
Kotak Mahindra,"1,948.00","1,896.90","1,942.60","1,882.30",60.3,3.2
Axis Bank,805.90,787.35,804.10,781.90,22.2,2.84
Divis Labs,"4,235.00","4,125.00","4,219.65","4,108.35",111.3,2.71
Dr Reddys Labs,"4,429.75","4,315.10","4,415.35","4,309.45",105.9,2.46
HDFC Bank,"1,535.00","1,505.60","1,531.20","1,497.00",34.2,2.28
IOC,124.95,122.20,124.45,121.75,2.7,2.22
Wipro,590.00,575.00,588.00,576.65,11.35,1.97
ITC,233.30,229.00,232.15,227.75,4.4,1.93
HDFC,"2,623.30","2,580.70","2,612.95","2,565.35",47.6,1.86
Eicher Motors,"2,722.55","2,622.20","2,669.75","2,622.20",47.55,1.81
TCS,"3,864.00","3,800.65","3,856.20","3,800.65",55.55,1.46
SBI,544.25,531.35,539.80,532.30,7.5,1.41
Titan Company,"2,477.90","2,441.75","2,464.00","2,431.80",32.2,1.32
HUL,"2,333.00","2,296.55","2,327.90","2,305.65",22.25,0.97
Adani Ports,746.85,721.50,745.20,738.75,6.45,0.87
BPCL,385.60,379.35,382.10,378.85,3.25,0.86
TATA Cons. Prod,744.90,734.60,742.45,736.10,6.35,0.86
Infosys,"1,792.80","1,772.00","1,787.10","1,772.05",15.05,0.85
JSW Steel,663.80,652.20,659.85,654.30,5.55,0.85
Hindalco,518.40,507.65,513.95,511.00,2.95,0.58
Cipla,958.50,944.75,951.80,946.40,5.4,0.57
Coal India,164.60,162.25,163.85,163.05,0.8,0.49
Power Grid Corp,217.80,213.25,214.00,212.95,1.05,0.49
ICICI Bank,818.70,808.85,813.75,810.30,3.45,0.43
SBI Life Insura,"1,227.55","1,211.05","1,220.10","1,214.95",5.15,0.42
Tata Motors,514.45,505.15,506.40,504.30,2.1,0.42
Grasim,"1,790.00","1,763.00","1,778.10","1,771.35",6.75,0.38
Bharti Airtel,731.75,720.50,725.05,723.05,2,0.28
ONGC,174.05,170.50,171.30,170.95,0.35,0.2
Reliance,"2,407.00","2,375.10","2,383.55","2,378.70",4.85,0.2
UPL,799.60,782.00,785.95,785.00,0.95,0.12
Asian Paints,"3,244.15","3,192.15","3,197.70","3,196.25",1.45,0.05
Bajaj Auto,"3,585.00","3,521.45","3,535.00","3,534.45",0.55,0.02
Tata Steel,"1,179.90","1,158.30","1,167.50","1,167.35",0.15,0.01
