company_name,high,low,last_price,prev_close,change,percent_gain
Britannia,"3,483.15","3,380.00","3,466.40","3,404.15",62.25,1.83
Axis Bank,639.30,623.65,636.80,625.55,11.25,1.8
HDFC Life,556.00,537.60,550.00,541.25,8.75,1.62
SBI,469.30,458.60,465.90,459.10,6.8,1.48
Divis Labs,"3,635.00","3,551.00","3,630.40","3,583.35",47.05,1.31
SBI Life Insura,"1,092.65","1,057.55","1,081.60","1,067.65",13.95,1.31
Kotak Mahindra,"1,676.90","1,631.00","1,661.10","1,642.45",18.65,1.14
NTPC,143.95,141.15,142.90,141.75,1.15,0.81
Dr Reddys Labs,"4,415.00","4,351.00","4,393.80","4,364.35",29.45,0.67
Larsen,"1,566.90","1,542.10","1,558.25","1,547.90",10.35,0.67
ICICI Bank,711.90,701.20,707.20,702.75,4.45,0.63
Reliance,"2,615.90","2,566.00","2,595.65","2,580.15",15.5,0.6
Power Grid Corp,214.75,210.40,211.90,211.10,0.8,0.38
HDFC Bank,"1,354.00","1,336.00","1,348.00","1,343.95",4.05,0.3
Titan Company,"1,965.75","1,926.00","1,941.25","1,936.15",5.1,0.26
