company_name,high,low,last_price,prev_close,change,percent_gain
Titan Company,"2,093.75","1,966.50","2,078.10","1,961.70",116.4,5.93
Hindalco,343.50,325.60,339.25,321.50,17.75,5.52
JSW Steel,580.80,552.70,576.20,550.35,25.85,4.7
Coal India,185.65,178.00,184.80,176.85,7.95,4.5
Adani Ports,691.55,667.10,689.10,663.15,25.95,3.91
Tata Motors,399.00,387.00,397.60,382.70,14.9,3.89
SBI,454.95,437.60,450.75,434.70,16.05,3.69
ONGC,140.20,135.00,139.10,134.40,4.7,3.5
TCS,"3,237.75","3,125.40","3,211.95","3,112.40",99.55,3.2
Eicher Motors,"2,711.00","2,632.15","2,702.80","2,623.25",79.55,3.03
Dr Reddys Labs,"4,276.55","4,160.10","4,268.65","4,151.80",116.85,2.81
HCL Tech,999.90,963.65,986.60,960.05,26.55,2.77
Tata Steel,895.50,864.00,884.80,861.40,23.4,2.72
Infosys,"1,456.00","1,422.75","1,449.90","1,414.15",35.75,2.53
Wipro,426.75,416.65,425.15,414.65,10.5,2.53
ITC,270.85,264.10,269.90,264.10,5.8,2.2
UPL,656.95,642.25,654.20,640.45,13.75,2.15
Tech Mahindra,"1,004.65",980.00,"1,000.10",979.35,20.75,2.12
Bharti Airtel,658.15,640.50,654.30,640.90,13.4,2.09
HDFC Life,565.80,555.00,564.45,553.15,11.3,2.04
NTPC,141.25,137.75,139.95,137.25,2.7,1.97
Larsen,"1,515.20","1,476.90","1,500.30","1,471.80",28.5,1.94
Hero Motocorp,"2,524.85","2,465.00","2,499.20","2,452.55",46.65,1.9
SBI Life Insura,"1,098.50","1,077.35","1,096.35","1,075.95",20.4,1.9
IndusInd Bank,809.40,783.45,798.85,784.05,14.8,1.89
Divis Labs,"3,613.90","3,540.00","3,599.50","3,533.55",65.95,1.87
HDFC,"2,192.05","2,138.65","2,174.70","2,135.25",39.45,1.85
BPCL,302.45,293.35,301.20,296.05,5.15,1.74
Reliance,"2,593.40","2,528.30","2,584.10","2,543.05",41.05,1.61
UltraTechCement,"5,433.00","5,262.05","5,418.90","5,333.30",85.6,1.61
Maruti Suzuki,"7,840.00","7,625.15","7,780.60","7,660.95",119.65,1.56
M&M,"1,004.75",981.80,997.95,982.70,15.25,1.55
Sun Pharma,820.30,805.35,817.45,805.30,12.15,1.51
Britannia,"3,472.85","3,375.05","3,429.30","3,378.60",50.7,1.5
ICICI Bank,708.00,688.60,696.10,685.95,10.15,1.48
TATA Cons. Prod,733.00,720.00,727.25,716.85,10.4,1.45
Bajaj Finance,"5,564.00","5,455.00","5,549.15","5,470.45",78.7,1.44
Grasim,"1,340.00","1,316.55","1,334.10","1,316.00",18.1,1.38
Cipla,944.45,927.10,938.20,925.85,12.35,1.33
Axis Bank,645.35,628.15,636.50,628.30,8.2,1.31
HDFC Bank,"1,354.00","1,324.05","1,336.55","1,322.15",14.4,1.09
Power Grid Corp,213.15,207.30,210.35,208.25,2.1,1.01
Bajaj Auto,"3,675.00","3,616.05","3,645.25","3,615.95",29.3,0.81
Shree Cements,"18,680.00","18,414.00","18,551.35","18,414.00",137.35,0.75
Asian Paints,"2,710.00","2,640.00","2,678.35","2,660.70",17.65,0.66
HUL,"2,232.00","2,172.15","2,205.00","2,195.90",9.1,0.41
Bajaj Finserv,"11,927.40","11,679.90","11,749.90","11,709.65",40.25,0.34
Kotak Mahindra,"1,709.00","1,672.55","1,681.50","1,679.20",2.3,0.14
Nestle,"17,200.00","16,860.00","16,971.80","16,967.10",4.7,0.03
