company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finance,"7,109.95","6,522.00","7,076.60","6,396.35",680.25,10.63
Bajaj Finserv,"15,223.25","13,507.00","14,642.05","13,307.05","1,335.00",10.03
Kotak Mahindra,"1,831.85","1,765.00","1,828.50","1,754.10",74.40,4.24
IndusInd Bank,"1,020.00",989.10,"1,017.70",979.80,37.90,3.87
SBI Life Insura,"1,195.00","1,147.50","1,191.45","1,149.35",42.10,3.66
Infosys,"1,524.45","1,489.85","1,517.40","1,471.05",46.35,3.15
Nestle,"19,345.00","18,460.00","19,112.40","18,541.90",570.50,3.08
Tech Mahindra,"1,043.45","1,015.40","1,038.00","1,007.65",30.35,3.01
Asian Paints,"3,280.00","3,182.00","3,272.40","3,186.05",86.35,2.71
JSW Steel,626.95,603.05,616.70,602.70,14.00,2.32
Wipro,417.00,410.90,416.00,406.65,9.35,2.3
TCS,"3,264.00","3,201.65","3,260.50","3,188.85",71.65,2.25
HDFC Life,536.00,519.65,531.60,521.25,10.35,1.99
HCL Tech,949.00,932.70,946.10,928.45,17.65,1.9
ICICI Bank,815.50,805.30,814.60,800.50,14.10,1.76
Power Grid Corp,214.80,210.05,214.20,210.65,3.55,1.69
Divis Labs,"3,859.90","3,775.10","3,849.65","3,786.45",63.20,1.67
Apollo Hospital,"4,206.00","4,135.00","4,190.50","4,125.60",64.90,1.57
Reliance,"2,467.95","2,421.00","2,457.10","2,419.20",37.90,1.57
HUL,"2,625.00","2,585.00","2,620.10","2,581.95",38.15,1.48
Titan Company,"2,341.50","2,305.05","2,334.65","2,303.55",31.10,1.35
ONGC,130.50,128.25,130.25,128.60,1.65,1.28
HDFC,"2,345.60","2,319.00","2,337.55","2,313.35",24.20,1.05
M&M,"1,152.00","1,135.35","1,149.15","1,138.10",11.05,0.97
Axis Bank,733.70,723.05,725.90,718.95,6.95,0.97
Hindalco,395.25,385.90,392.40,388.65,3.75,0.96
HDFC Bank,"1,424.00","1,411.00","1,416.85","1,404.40",12.45,0.89
UPL,730.80,719.40,727.70,721.60,6.10,0.85
SBI,537.50,529.55,532.45,528.20,4.25,0.8
Maruti Suzuki,"8,770.15","8,628.80","8,721.05","8,658.10",62.95,0.73
TATA Cons. Prod,809.90,798.60,806.60,801.60,5.00,0.62
Adani Ports,768.60,757.65,764.50,760.65,3.85,0.51
BPCL,328.90,321.85,326.05,324.60,1.45,0.45
NTPC,150.95,149.05,150.35,149.70,0.65,0.43
Britannia,"3,882.00","3,836.40","3,869.35","3,854.55",14.80,0.38
Larsen,"1,816.00","1,786.95","1,801.25","1,796.65",4.60,0.26
Grasim,"1,567.05","1,538.05","1,550.60","1,546.85",3.75,0.24
Sun Pharma,896.85,878.75,894.85,894.00,0.85,0.1
