company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,157.40,146.20,154.15,149.35,4.8,3.21
NTPC,143.10,136.80,141.75,138.60,3.15,2.27
Reliance,"2,597.00","2,501.00","2,580.15","2,527.70",52.45,2.08
Coal India,190.25,183.65,188.75,186.40,2.35,1.26
Sun Pharma,843.70,823.85,838.70,828.60,10.1,1.22
Bharti Airtel,689.10,675.00,687.80,681.15,6.65,0.98
UltraTechCement,"5,648.00","5,521.10","5,618.30","5,572.75",45.55,0.82
ITC,275.00,269.15,274.05,271.85,2.2,0.81
Eicher Motors,"2,922.95","2,830.00","2,886.60","2,863.80",22.8,0.8
Shree Cements,"19,591.00","19,011.15","19,384.10","19,236.90",147.2,0.77
Nestle,"17,525.00","17,252.30","17,499.05","17,403.90",95.15,0.55
Power Grid Corp,215.00,208.45,211.10,210.30,0.8,0.38
Tata Steel,888.80,868.50,881.60,878.90,2.7,0.31
Cipla,961.90,922.90,947.65,945.10,2.55,0.27
Maruti Suzuki,"8,530.00","8,370.00","8,508.90","8,489.70",19.2,0.23
Hindalco,345.60,335.05,344.15,343.55,0.6,0.17
Tech Mahindra,"1,027.40","1,002.55","1,021.10","1,020.70",0.4,0.04
