company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,128.20,123.50,126.65,122.55,4.1,3.35
Hindalco,376.90,366.00,371.20,360.75,10.45,2.9
Apollo Hospital,"4,404.65","4,284.95","4,391.70","4,268.95",122.75,2.88
HDFC Life,529.75,517.00,528.00,514.45,13.55,2.63
ITC,334.90,327.75,333.05,324.95,8.1,2.49
Dr Reddys Labs,"4,407.00","4,286.00","4,360.70","4,269.70",91,2.13
Shree Cements,"21,588.00","20,660.10","21,287.05","20,844.50",442.55,2.12
Tata Steel,98.25,96.40,96.85,95.20,1.65,1.73
Tata Steel,98.25,96.40,96.85,95.20,1.65,1.73
Cipla,"1,121.65","1,088.10","1,115.85","1,097.15",18.7,1.7
Coal India,215.15,210.65,213.90,210.80,3.1,1.47
Sun Pharma,955.50,925.10,930.70,917.85,12.85,1.4
M&M,"1,267.95","1,245.70","1,258.35","1,242.40",15.95,1.28
NTPC,161.70,158.00,159.55,157.95,1.6,1.01
Tata Motors,413.25,399.60,402.25,399.10,3.15,0.79
Tata Motors,413.25,399.60,402.25,399.10,3.15,0.79
Nestle,"19,130.00","18,791.25","18,979.15","18,840.95",138.2,0.73
Bharti Airtel,769.00,759.30,764.65,761.45,3.2,0.42
Axis Bank,730.80,711.00,719.00,716.45,2.55,0.36
Britannia,"3,873.00","3,810.00","3,864.50","3,853.20",11.3,0.29
Infosys,"1,409.85","1,393.00","1,398.65","1,394.70",3.95,0.28
JSW Steel,628.00,617.05,618.25,616.50,1.75,0.28
HCL Tech,931.00,916.60,923.05,920.80,2.25,0.24
Power Grid Corp,212.10,206.05,208.00,207.70,0.3,0.14
IndusInd Bank,"1,174.80","1,137.30","1,142.25","1,140.90",1.35,0.12
SBI Life Insura,"1,251.00","1,236.00","1,239.80","1,238.80",1,0.08
UltraTechCement,"6,262.85","6,145.00","6,175.90","6,172.95",2.95,0.05
