company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,209.60,202.05,208.35,201.55,6.8,3.37
IOC,112.45,109.70,112.15,109.05,3.1,2.84
ONGC,141.00,137.15,140.50,136.80,3.7,2.7
ITC,218.45,213.20,217.30,212.00,5.3,2.5
Cipla,912.50,891.25,909.75,889.70,20.05,2.25
Bajaj Finance,"6,993.50","6,838.25","6,917.75","6,771.20",146.55,2.16
Hero Motocorp,"2,403.00","2,352.50","2,392.70","2,348.80",43.9,1.87
Infosys,"1,861.60","1,827.00","1,857.60","1,824.70",32.9,1.8
Britannia,"3,560.00","3,502.00","3,554.60","3,497.00",57.6,1.65
TATA Cons. Prod,729.60,712.25,726.75,714.95,11.8,1.65
NTPC,125.40,122.80,124.55,122.55,2,1.63
Coal India,147.95,146.00,147.70,145.35,2.35,1.62
Tech Mahindra,"1,691.10","1,664.15","1,683.80","1,659.75",24.05,1.45
Axis Bank,684.50,672.60,678.80,669.35,9.45,1.41
Bajaj Finserv,"16,219.55","16,026.50","16,169.90","15,945.90",224,1.4
BPCL,378.25,372.00,377.35,372.45,4.9,1.32
SBI,465.00,457.75,461.80,455.85,5.95,1.31
Titan Company,"2,337.55","2,310.00","2,329.90","2,299.75",30.15,1.31
Wipro,702.00,689.10,694.55,685.65,8.9,1.3
Grasim,"1,669.90","1,636.15","1,659.60","1,638.60",21,1.28
HDFC,"2,582.00","2,543.35","2,571.15","2,539.00",32.15,1.27
Bajaj Auto,"3,190.95","3,138.00","3,174.10","3,135.85",38.25,1.22
Adani Ports,747.50,728.85,731.30,722.85,8.45,1.17
HUL,"2,305.00","2,274.60","2,300.65","2,277.65",23,1.01
Dr Reddys Labs,"4,700.00","4,655.10","4,694.80","4,648.50",46.3,1
M&M,833.80,822.75,826.85,818.70,8.15,1
TCS,"3,670.50","3,630.00","3,662.70","3,630.75",31.95,0.88
Kotak Mahindra,"1,788.70","1,767.35","1,775.60","1,762.40",13.2,0.75
Shree Cements,"26,390.00","25,912.10","26,332.75","26,197.25",135.5,0.52
Larsen,"1,887.85","1,862.10","1,878.45","1,871.00",7.45,0.4
Tata Motors,478.00,470.95,472.35,470.50,1.85,0.39
HCL Tech,"1,230.70","1,215.60","1,227.45","1,222.80",4.65,0.38
SBI Life Insura,"1,134.00","1,116.15","1,125.45","1,124.30",1.15,0.1
HDFC Life,644.60,636.80,640.50,639.90,0.6,0.09
Nestle,"19,299.95","19,155.00","19,208.55","19,190.60",17.95,0.09
UPL,759.00,748.65,754.75,754.30,0.45,0.06
