company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,368.10,354.20,367.10,350.55,16.55,4.72
IndusInd Bank,853.20,823.20,851.05,815.05,36,4.42
Infosys,"1,493.60","1,448.05","1,489.90","1,430.35",59.55,4.16
Tech Mahindra,"1,022.00",984.20,"1,008.00",973.80,34.2,3.51
Bajaj Finserv,"12,286.60","11,920.05","12,250.00","11,840.25",409.75,3.46
Axis Bank,688.00,663.45,684.50,662.20,22.3,3.37
Kotak Mahindra,"1,850.00","1,794.25","1,845.65","1,787.70",57.95,3.24
UltraTechCement,"5,991.00","5,811.40","5,982.40","5,807.05",175.35,3.02
ICICI Bank,773.15,757.85,772.00,751.20,20.8,2.77
Wipro,405.70,396.65,404.75,393.85,10.9,2.77
ONGC,130.70,126.95,129.90,126.55,3.35,2.65
Larsen,"1,734.60","1,690.00","1,727.65","1,684.85",42.8,2.54
Bajaj Finance,"6,068.10","5,931.35","6,059.80","5,915.20",144.6,2.44
Tata Motors,453.80,443.20,450.90,440.20,10.7,2.43
Tata Motors,453.80,443.20,450.90,440.20,10.7,2.43
UPL,687.75,675.00,685.05,669.35,15.7,2.35
SBI,491.50,482.10,490.30,479.10,11.2,2.34
Tata Steel,908.00,892.25,904.30,883.80,20.5,2.32
TCS,"3,076.95","3,014.30","3,063.50","2,994.60",68.9,2.3
Titan Company,"2,247.30","2,194.05","2,237.45","2,189.70",47.75,2.18
Grasim,"1,431.10","1,406.10","1,428.30","1,398.20",30.1,2.15
HCL Tech,907.50,888.85,900.30,883.15,17.15,1.94
SBI Life Insura,"1,186.85","1,157.30","1,177.15","1,155.45",21.7,1.88
Bajaj Auto,"3,990.00","3,925.10","3,984.05","3,913.35",70.7,1.81
Shree Cements,"20,099.00","19,780.00","20,055.70","19,701.80",353.9,1.8
Bharti Airtel,670.00,649.15,663.05,651.80,11.25,1.73
JSW Steel,592.00,578.00,585.95,576.40,9.55,1.66
Asian Paints,"3,025.00","2,988.40","3,017.85","2,978.15",39.7,1.33
Adani Ports,742.50,732.60,739.75,730.90,8.85,1.21
BPCL,316.25,309.65,315.80,312.10,3.7,1.19
Coal India,196.90,193.85,195.60,193.40,2.2,1.14
Reliance,"2,425.00","2,392.30","2,422.25","2,401.80",20.45,0.85
Hero Motocorp,"2,835.85","2,805.25","2,817.95","2,800.05",17.9,0.64
ITC,296.30,293.75,295.30,293.55,1.75,0.6
HDFC Life,545.95,540.45,542.75,539.90,2.85,0.53
Sun Pharma,895.60,878.55,882.80,878.40,4.4,0.5
TATA Cons. Prod,797.95,787.80,794.35,790.55,3.8,0.48
Power Grid Corp,212.40,208.90,210.25,209.30,0.95,0.45
Apollo Hospital,"3,970.80","3,890.15","3,947.10","3,931.70",15.4,0.39
Divis Labs,"3,789.95","3,720.85","3,738.45","3,727.75",10.7,0.29
Cipla,975.40,960.05,967.35,966.05,1.3,0.13
Eicher Motors,"3,078.00","3,012.00","3,036.50","3,034.00",2.5,0.08
NTPC,151.55,149.30,149.80,149.75,0.05,0.03
