company_name,high,low,last_price,prev_close,change,percent_gain
Titan Company,"2,744.95","2,650.00","2,737.60","2,666.65",70.95,2.66
HUL,"2,701.25","2,620.05","2,692.75","2,623.60",69.15,2.64
Asian Paints,"3,440.00","3,315.65","3,436.00","3,356.05",79.95,2.38
Eicher Motors,"3,759.90","3,670.40","3,748.75","3,682.05",66.7,1.81
Maruti Suzuki,"9,435.00","9,186.00","9,401.85","9,247.90",153.95,1.66
Britannia,"3,835.45","3,751.00","3,825.95","3,765.65",60.3,1.6
Adani Ports,953.50,928.05,946.65,932.90,13.75,1.47
ITC,348.75,340.90,345.05,340.95,4.1,1.2
Tata Motors,434.60,422.55,432.20,427.65,4.55,1.06
Tata Motors,434.60,422.55,432.20,427.65,4.55,1.06
Grasim,"1,736.00","1,696.80","1,732.70","1,719.85",12.85,0.75
Dr Reddys Labs,"4,222.10","4,108.40","4,182.40","4,152.75",29.65,0.71
UPL,726.60,709.10,721.35,717.50,3.85,0.54
Bharti Airtel,794.80,776.35,784.10,780.20,3.9,0.5
Bajaj Finance,"7,778.00","7,600.00","7,719.55","7,690.65",28.9,0.38
Sun Pharma,911.25,895.30,908.00,905.30,2.7,0.3
M&M,"1,320.55","1,293.00","1,310.40","1,306.65",3.75,0.29
TCS,"3,029.95","2,979.30","3,007.40","3,001.20",6.2,0.21
Divis Labs,"3,595.85","3,544.00","3,580.10","3,573.70",6.4,0.18
Hindalco,415.00,403.50,412.10,411.35,0.75,0.18
Apollo Hospital,"4,631.20","4,522.20","4,608.90","4,604.80",4.1,0.09
NTPC,169.65,166.85,168.65,168.60,0.05,0.03
Hero Motocorp,"2,799.35","2,733.00","2,776.95","2,776.65",0.3,0.01
