company_name,high,low,last_price,prev_close,change,percent_gain
ONGC,174.85,170.70,174.25,168.90,5.35,3.17
Apollo Hospital,"4,764.00","4,629.00","4,744.45","4,626.30",118.15,2.55
ITC,270.60,263.65,269.55,264.80,4.75,1.79
Sun Pharma,943.00,921.30,936.75,921.30,15.45,1.68
UPL,836.45,805.00,818.65,805.65,13,1.61
JSW Steel,781.10,760.00,766.35,755.90,10.45,1.38
Shree Cements,"25,515.35","25,120.00","25,363.55","25,122.65",240.9,0.96
SBI,520.90,513.75,517.70,512.85,4.85,0.95
HUL,"2,165.00","2,130.70","2,152.15","2,132.25",19.9,0.93
NTPC,156.20,152.75,153.95,152.60,1.35,0.88
Hindalco,551.90,543.55,546.75,542.35,4.4,0.81
Larsen,"1,772.85","1,747.10","1,760.80","1,747.70",13.1,0.75
Bajaj Finance,"7,380.00","7,282.05","7,328.45","7,274.50",53.95,0.74
TATA Cons. Prod,823.50,811.05,817.60,812.10,5.5,0.68
M&M,875.00,862.35,866.10,860.80,5.3,0.62
Grasim,"1,778.00","1,738.40","1,765.95","1,755.50",10.45,0.6
Divis Labs,"4,520.45","4,430.15","4,499.25","4,473.40",25.85,0.58
HDFC Life,568.75,562.00,564.85,562.30,2.55,0.45
Infosys,"1,757.50","1,732.00","1,748.55","1,742.45",6.1,0.35
Coal India,191.30,185.70,186.60,186.00,0.6,0.32
Britannia,"3,388.00","3,340.00","3,349.65","3,344.10",5.55,0.17
Wipro,565.50,554.60,559.20,558.70,0.5,0.09
