company_name,high,low,last_price,prev_close,change,percent_gain
Hindalco,430.20,415.00,429.30,414.90,14.4,3.47
JSW Steel,683.55,662.00,681.95,661.40,20.55,3.11
ITC,329.60,323.75,328.85,323.15,5.7,1.76
Sun Pharma,886.15,864.45,884.60,869.55,15.05,1.73
NTPC,165.10,162.20,164.50,161.80,2.7,1.67
Reliance,"2,581.50","2,531.00","2,569.80","2,530.50",39.3,1.55
Larsen,"1,972.75","1,942.10","1,968.35","1,940.50",27.85,1.44
Grasim,"1,714.25","1,680.00","1,710.75","1,687.90",22.85,1.35
Tata Steel,107.30,105.80,106.90,105.50,1.4,1.33
Tata Steel,107.30,105.80,106.90,105.50,1.4,1.33
HCL Tech,942.30,922.50,936.00,924.45,11.55,1.25
ICICI Bank,885.90,871.55,882.45,872.40,10.05,1.15
Coal India,232.35,228.50,231.60,229.30,2.3,1
Cipla,"1,030.45","1,012.00","1,025.65","1,015.60",10.05,0.99
Kotak Mahindra,"1,957.00","1,911.00","1,937.90","1,918.85",19.05,0.99
Shree Cements,"21,367.85","20,801.00","21,293.65","21,088.40",205.25,0.97
BPCL,325.10,321.25,324.75,321.95,2.8,0.87
Tech Mahindra,"1,070.80","1,054.80","1,065.05","1,056.40",8.65,0.82
Axis Bank,758.80,749.35,756.10,750.20,5.9,0.79
Bharti Airtel,741.95,733.25,740.40,735.00,5.4,0.73
IndusInd Bank,"1,112.45","1,096.55","1,108.00","1,100.75",7.25,0.66
HDFC Bank,"1,499.00","1,484.10","1,495.05","1,485.50",9.55,0.64
Hero Motocorp,"2,848.00","2,808.05","2,842.05","2,825.15",16.9,0.6
Dr Reddys Labs,"4,219.55","4,155.00","4,214.25","4,189.95",24.3,0.58
Infosys,"1,467.00","1,446.35","1,461.30","1,453.00",8.3,0.57
Titan Company,"2,640.00","2,610.85","2,627.35","2,612.60",14.75,0.56
HDFC,"2,464.50","2,439.50","2,456.25","2,444.35",11.9,0.49
ONGC,133.90,132.65,133.40,132.75,0.65,0.49
TATA Cons. Prod,841.15,829.05,837.45,833.70,3.75,0.45
SBI,540.80,536.30,538.90,536.70,2.2,0.41
SBI Life Insura,"1,296.00","1,282.00","1,293.40","1,288.20",5.2,0.4
M&M,"1,324.45","1,301.10","1,320.55","1,315.95",4.6,0.35
Maruti Suzuki,"9,016.80","8,875.00","8,950.05","8,919.60",30.45,0.34
Bajaj Finserv,"17,528.90","17,205.05","17,376.10","17,329.25",46.85,0.27
UPL,753.75,740.00,746.85,745.80,1.05,0.14
TCS,"3,147.95","3,112.25","3,133.40","3,130.40",3,0.1
Bajaj Finance,"7,254.00","7,158.00","7,196.20","7,190.35",5.85,0.08
