company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,215.95,209.35,215.55,208.35,7.2,3.46
Coal India,233.00,225.55,232.10,225.45,6.65,2.95
Axis Bank,810.80,783.45,808.70,785.55,23.15,2.95
Bajaj Auto,"3,653.00","3,515.85","3,624.50","3,528.75",95.75,2.71
NTPC,165.30,161.15,165.00,161.05,3.95,2.45
IndusInd Bank,"1,192.10","1,156.10","1,189.05","1,164.60",24.45,2.1
TATA Cons. Prod,759.00,738.80,757.35,742.60,14.75,1.99
Larsen,"1,916.00","1,858.05","1,911.25","1,878.95",32.3,1.72
UltraTechCement,"6,190.00","6,057.80","6,177.70","6,076.75",100.95,1.66
Grasim,"1,677.00","1,631.30","1,671.65","1,644.50",27.15,1.65
HUL,"2,604.60","2,554.20","2,591.35","2,550.65",40.7,1.6
M&M,"1,259.35","1,230.10","1,247.90","1,229.55",18.35,1.49
Nestle,"18,766.85","18,449.95","18,725.40","18,449.95",275.45,1.49
Eicher Motors,"3,468.65","3,377.00","3,458.20","3,408.00",50.2,1.47
HCL Tech,963.90,943.30,952.00,938.60,13.4,1.43
UPL,675.55,660.70,673.60,664.15,9.45,1.42
HDFC,"2,309.45","2,271.00","2,301.75","2,271.25",30.5,1.34
Bajaj Finserv,"1,701.60","1,667.40","1,694.65","1,672.65",22,1.32
Bajaj Finserv,"1,701.60","1,667.40","1,694.65","1,672.65",22,1.32
JSW Steel,653.75,638.20,651.10,642.75,8.35,1.3
Kotak Mahindra,"1,813.00","1,780.20","1,810.20","1,787.90",22.3,1.25
SBI,535.00,526.00,533.80,527.40,6.4,1.21
ITC,331.45,324.75,330.10,326.30,3.8,1.16
Sun Pharma,960.00,941.05,955.55,944.75,10.8,1.14
Tech Mahindra,"1,018.80",998.20,"1,015.90","1,004.85",11.05,1.1
Hindalco,401.40,391.75,400.20,396.05,4.15,1.05
TCS,"3,109.90","3,062.05","3,100.75","3,069.55",31.2,1.02
Britannia,"3,774.40","3,726.35","3,763.00","3,727.90",35.1,0.94
BPCL,309.25,299.35,302.50,299.75,2.75,0.92
Wipro,409.60,401.60,407.95,404.40,3.55,0.88
Adani Ports,806.50,786.35,803.90,797.35,6.55,0.82
Tata Motors,398.20,391.10,396.55,393.35,3.2,0.81
Tata Motors,398.20,391.10,396.55,393.35,3.2,0.81
HDFC Life,528.60,520.10,526.60,522.55,4.05,0.78
Reliance,"2,381.70","2,343.10","2,375.25","2,357.90",17.35,0.74
Divis Labs,"3,540.20","3,472.00","3,527.80","3,502.20",25.6,0.73
HDFC Bank,"1,414.85","1,397.30","1,409.80","1,400.65",9.15,0.65
SBI Life Insura,"1,220.45","1,200.30","1,212.20","1,206.35",5.85,0.48
Infosys,"1,441.10","1,413.55","1,428.70","1,423.80",4.9,0.34
Bajaj Finance,"7,258.50","7,145.00","7,226.20","7,202.80",23.4,0.32
Apollo Hospital,"4,350.00","4,245.00","4,287.05","4,275.55",11.5,0.27
Tata Steel,101.20,99.00,100.55,100.35,0.2,0.2
Tata Steel,101.20,99.00,100.55,100.35,0.2,0.2
ONGC,132.00,129.10,131.35,131.10,0.25,0.19
Hero Motocorp,"2,564.45","2,516.10","2,550.05","2,548.15",1.9,0.07
Maruti Suzuki,"8,720.00","8,590.60","8,686.60","8,684.15",2.45,0.03
