company_name,high,low,last_price,prev_close,change,percent_gain
Power Grid Corp,215.95,210.95,214.15,210.70,3.45,1.64
Shree Cements,"19,693.00","19,303.80","19,565.75","19,292.40",273.35,1.42
Hindalco,356.90,341.75,345.25,340.50,4.75,1.4
Apollo Hospital,"3,874.75","3,761.00","3,817.40","3,770.10",47.3,1.25
Bajaj Finserv,"11,748.00","11,409.75","11,524.70","11,388.30",136.4,1.2
HUL,"2,412.00","2,371.60","2,401.50","2,375.20",26.3,1.11
ONGC,128.60,126.00,127.40,126.00,1.4,1.11
Dr Reddys Labs,"4,467.50","4,351.20","4,394.20","4,354.45",39.75,0.91
Tata Motors,418.80,410.20,412.00,408.45,3.55,0.87
Reliance,"2,464.90","2,417.10","2,433.25","2,413.70",19.55,0.81
Sun Pharma,846.80,826.65,835.80,829.40,6.4,0.77
Cipla,949.65,930.25,937.40,930.65,6.75,0.73
Tata Steel,879.20,857.80,860.15,854.55,5.6,0.66
Bajaj Finance,"5,755.00","5,626.45","5,661.10","5,630.30",30.8,0.55
Bharti Airtel,689.30,680.05,684.45,681.90,2.55,0.37
UltraTechCement,"5,763.00","5,700.35","5,729.95","5,709.05",20.9,0.37
Eicher Motors,"2,843.90","2,790.00","2,805.60","2,796.40",9.2,0.33
Tech Mahindra,"1,021.90",999.00,"1,003.20",999.95,3.25,0.33
UPL,671.65,654.60,656.40,654.50,1.9,0.29
Coal India,185.20,181.75,182.45,182.05,0.4,0.22
JSW Steel,564.00,550.60,552.65,551.50,1.15,0.21
Bajaj Auto,"3,700.00","3,663.00","3,682.75","3,679.75",3,0.08
