company_name,high,low,last_price,prev_close,change,percent_gain
Tata Steel,"1,174.45","1,086.40","1,167.35","1,085.55",81.80,7.54
Sun Pharma,895.00,839.85,891.75,834.50,57.25,6.86
IndusInd Bank,927.00,879.00,922.30,872.10,50.20,5.76
Shree Cements,"25,635.00","24,340.05","25,489.65","24,267.10","1,222.55",5.04
Hindalco,512.65,487.70,511.00,489.05,21.95,4.49
Larsen,"1,999.90","1,917.00","1,990.50","1,909.20",81.30,4.26
UltraTechCement,"7,535.50","7,235.20","7,516.25","7,216.40",299.85,4.16
JSW Steel,658.85,628.00,654.30,628.95,25.35,4.03
Britannia,"3,710.00","3,545.05","3,656.60","3,535.30",121.30,3.43
ITC,228.80,219.15,227.75,220.20,7.55,3.43
Adani Ports,744.30,720.65,738.75,716.30,22.45,3.13
HCL Tech,"1,136.50","1,101.25","1,132.80","1,099.40",33.40,3.04
Titan Company,"2,442.10","2,358.95","2,431.80","2,360.30",71.50,3.03
ICICI Bank,812.85,789.30,810.30,788.80,21.50,2.73
Grasim,"1,776.95","1,717.10","1,771.35","1,727.50",43.85,2.54
Infosys,"1,780.00","1,734.70","1,772.05","1,736.20",35.85,2.06
Coal India,163.45,158.60,163.05,159.80,3.25,2.03
Tech Mahindra,"1,514.95","1,475.00","1,505.75","1,479.00",26.75,1.81
Divis Labs,"4,124.00","4,032.60","4,108.35","4,036.10",72.25,1.79
HDFC,"2,596.00","2,510.30","2,565.35","2,521.00",44.35,1.76
TCS,"3,808.00","3,736.40","3,800.65","3,736.25",64.40,1.72
Asian Paints,"3,212.35","3,141.60","3,196.25","3,152.25",44.00,1.4
HUL,"2,320.00","2,278.40","2,305.65","2,273.75",31.90,1.4
Bajaj Finserv,"16,014.95","15,500.00","15,903.85","15,689.55",214.30,1.37
Kotak Mahindra,"1,905.00","1,834.10","1,882.30","1,857.25",25.05,1.35
TATA Cons. Prod,739.00,717.05,736.10,727.30,8.80,1.21
Axis Bank,793.90,769.10,781.90,773.05,8.85,1.14
UPL,795.60,766.90,785.00,776.50,8.50,1.09
Nestle,"18,778.20","18,421.00","18,671.70","18,521.55",150.15,0.81
HDFC Bank,"1,517.00","1,473.45","1,497.00","1,485.70",11.30,0.76
Wipro,582.40,566.45,576.65,572.60,4.05,0.71
HDFC Life,638.55,617.60,623.90,622.45,1.45,0.23
Bajaj Finance,"7,115.80","6,886.00","7,014.60","7,000.25",14.35,0.2
Cipla,959.00,938.80,946.40,945.00,1.40,0.15
Dr Reddys Labs,"4,326.40","4,258.00","4,309.45","4,302.80",6.65,0.15
Hero Motocorp,"2,769.80","2,678.00","2,726.75","2,724.30",2.45,0.09
